date,fips,county,boundary,total_adult_inpatient,used_inpatient,total_adult_confirmed_and_suspected_covid,total_adult_confirmed_covid,total_icu,used_icu,total_staffed_adult_icu,used_staffed_adult_icu,staffed_icu_adult_confirmed_and_suspected_covid,staffed_icu_adult_confirmed_covid
2020-07-31,36001,Albany,0.0,3290.0,2235.0,69.0,65.0,338.0,178.0,198.0,118.0,0.0,0.0
2020-07-31,36003,Allegany,0.0,417.0,218.0,4.0,0.0,70.0,11.0,70.0,9.0,0.0,0.0
2020-07-31,36005,Bronx,0.0,25348.0,14879.0,605.0,495.0,3661.0,2114.0,2873.0,1414.0,75.0,44.0
2020-07-31,36007,Broome,0.0,4043.0,2263.0,144.0,142.0,426.0,263.0,426.0,257.0,66.0,66.0
2020-07-31,36009,Cattaraugus,0.0,639.0,640.0,16.0,0.0,33.0,33.0,33.0,0.0,0.0,0.0
2020-07-31,36011,Cayuga,0.0,0.0,495.0,42.0,8.0,133.0,39.0,133.0,39.0,0.0,0.0
2020-07-31,36013,Chautauqua,0.0,1400.0,1168.0,25.0,24.0,230.0,212.0,230.0,207.0,18.0,18.0
2020-07-31,36015,Chemung,0.0,1155.0,893.0,0.0,0.0,140.0,112.0,140.0,112.0,0.0,0.0
2020-07-31,36017,Chenango,0.0,0.0,68.0,0.0,0.0,49.0,9.0,0.0,0.0,0.0,0.0
2020-07-31,36019,Clinton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36021,Columbia,0.0,346.0,346.0,30.0,11.0,40.0,19.0,0.0,19.0,0.0,0.0
2020-07-31,36023,Cortland,0.0,308.0,158.0,0.0,0.0,48.0,23.0,48.0,23.0,0.0,0.0
2020-07-31,36025,Delaware,0.0,378.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36027,Dutchess,0.0,3241.0,2321.0,217.0,18.0,329.0,276.0,224.0,179.0,24.0,7.0
2020-07-31,36029,Erie,0.0,12876.0,10679.0,335.0,198.0,3036.0,1080.0,2262.0,853.0,59.0,21.0
2020-07-31,36031,Essex,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36033,Franklin,0.0,718.0,193.0,39.0,0.0,83.0,7.0,83.0,7.0,5.0,0.0
2020-07-31,36035,Fulton,0.0,0.0,200.0,14.0,0.0,56.0,38.0,56.0,38.0,6.0,0.0
2020-07-31,36037,Genesee,0.0,0.0,209.0,0.0,0.0,78.0,15.0,0.0,0.0,0.0,0.0
2020-07-31,36039,Greene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36041,Hamilton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36043,Herkimer,0.0,0.0,104.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36045,Jefferson,0.0,137.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36047,Kings,0.0,22825.0,13580.0,1118.0,364.0,2470.0,1622.0,1889.0,1230.0,226.0,106.0
2020-07-31,36049,Lewis,0.0,0.0,39.0,0.0,0.0,24.0,5.0,0.0,0.0,0.0,0.0
2020-07-31,36051,Livingston,0.0,252.0,163.0,0.0,0.0,56.0,28.0,56.0,27.0,0.0,0.0
2020-07-31,36053,Madison,0.0,248.0,246.0,19.0,13.0,66.0,18.0,46.0,18.0,0.0,0.0
2020-07-31,36055,Monroe,0.0,9639.0,11981.0,123.0,83.0,2688.0,1310.0,1428.0,834.0,12.0,12.0
2020-07-31,36057,Montgomery,0.0,702.0,274.0,9.0,0.0,72.0,37.0,66.0,37.0,0.0,0.0
2020-07-31,36059,Nassau,0.0,17380.0,12990.0,616.0,299.0,2747.0,1513.0,2621.0,1267.0,94.0,36.0
2020-07-31,36063,Niagara,0.0,1967.0,965.0,34.0,13.0,203.0,84.0,203.0,84.0,5.0,0.0
2020-07-31,36065,Oneida,0.0,0.0,300.0,177.0,83.0,70.0,17.0,0.0,0.0,31.0,21.0
2020-07-31,36067,Onondaga,0.0,7399.0,6393.0,83.0,64.0,1379.0,995.0,1134.0,882.0,27.0,25.0
