date,boundary,total_adult_inpatient,used_inpatient,total_adult_confirmed_and_suspected_covid,total_adult_confirmed_covid,total_icu,used_icu,total_staffed_adult_icu,used_staffed_adult_icu,staffed_icu_adult_confirmed_and_suspected_covid,staffed_icu_adult_confirmed_covid
2020-07-31,1.0,31513.29,27180.43,1445.57,595.14,6039.86,3457.43,4206.86,2310.86,218.29,107.43
2020-11-27,1.0,42860.0,32986.29,4488.43,3731.86,7299.43,4146.0,5939.71,3356.43,802.29,701.86
2020-12-11,1.0,44755.29,34338.29,6528.14,5720.57,7032.43,4397.86,5749.57,3520.0,1161.43,1050.29
2020-11-20,1.0,42526.43,32815.86,3594.29,2843.57,7086.43,4216.57,5780.14,3370.43,662.86,556.57
2020-11-13,1.0,42597.57,33411.71,2876.14,2130.57,7023.71,4171.57,5712.57,3311.14,491.43,390.0
2020-12-18,1.0,46445.71,33986.43,7361.86,6607.43,6993.86,4387.14,5748.0,3548.71,1226.14,1126.29
2020-11-06,1.0,42378.86,33213.0,2342.14,1573.29,6890.86,4160.86,5620.57,3276.71,391.71,302.0
2021-02-05,1.0,44380.43,35953.43,8266.14,7604.71,6796.71,4798.86,5492.14,3907.14,1502.14,1425.0
2020-10-30,1.0,42302.0,32267.71,1884.71,1211.43,6908.43,4107.86,5658.14,3232.43,340.43,257.57
2020-10-23,1.0,40554.71,31926.86,1744.14,1050.57,6742.71,4043.14,5411.0,3111.57,336.86,221.71
2020-12-25,1.0,45812.86,32963.43,8312.43,7550.0,6882.0,4344.57,5602.86,3528.0,1329.71,1233.29
2020-10-16,1.0,38591.43,31841.71,1687.0,961.71,6686.43,4042.71,5168.57,3024.29,302.0,198.57
2020-10-09,1.0,36312.43,30420.43,1577.0,875.86,6466.71,3859.71,4859.43,2828.71,283.43,181.14
2021-01-01,1.0,44564.43,34445.86,9058.14,8253.86,6798.14,4560.43,5397.0,3701.71,1569.71,1380.0
2020-09-25,1.0,32909.43,29856.0,1212.14,550.0,6173.29,3830.0,4235.43,2587.57,212.14,119.57
2020-10-02,1.0,33501.71,29166.71,1333.71,644.14,6238.0,3684.57,4372.14,2546.43,234.14,134.29
2020-09-18,1.0,33724.43,29883.57,1160.71,477.86,6326.0,3751.43,4438.0,2547.86,197.14,116.86
2020-08-07,1.0,32180.0,27288.57,1518.0,573.0,5988.29,3353.57,4275.71,2365.29,217.29,97.43
2021-01-29,1.0,44550.71,35423.57,8711.57,8035.29,6802.14,4794.57,5478.71,3902.71,1588.29,1507.86
2020-08-14,1.0,32356.86,27625.29,1448.86,541.14,5924.86,3345.86,4230.71,2372.0,204.0,97.14
2020-08-21,1.0,31629.57,27436.71,1331.0,480.0,5870.29,3388.43,4166.0,2375.86,201.0,97.0
2021-01-22,1.0,44735.86,36263.0,9352.43,8665.43,6761.0,4759.86,5422.57,3881.14,1633.57,1558.14
2021-01-08,1.0,44743.86,35964.0,9522.14,8698.71,6822.43,4712.29,5423.57,3823.71,1570.86,1476.57
2020-08-28,1.0,32411.43,28279.0,1266.71,432.43,6102.29,3522.57,4329.0,2494.43,182.57,89.43
2021-01-15,1.0,44772.14,36088.71,9776.71,9026.43,6823.43,4726.57,5430.14,3864.29,1638.71,1555.71
2020-09-11,1.0,33258.86,29525.86,1176.0,462.57,6733.29,3708.29,4810.29,2512.43,191.0,105.43
2020-09-04,1.0,33530.43,28760.29,1255.29,441.86,6342.0,3638.0,4465.43,2514.43,191.71,101.57
2020-12-04,1.0,43016.43,34699.14,5556.86,4755.71,7177.0,4414.43,5882.14,3553.29,1013.57,908.29
2021-01-15,4.0,44772.14,36088.71,9778.43,9028.57,6823.43,4726.57,5430.14,3864.29,1640.43,1557.43
2020-12-18,4.0,46445.71,33986.86,7362.71,6607.86,6993.86,4387.14,5748.0,3548.71,1227.0,1127.57
2020-12-25,4.0,45812.86,32963.43,8314.14,7551.71,6882.0,4345.0,5602.86,3528.43,1330.14,1233.71
2021-01-22,4.0,44735.86,36263.0,9352.86,8666.29,6761.43,4759.86,5422.57,3881.14,1634.43,1558.57
2021-01-08,4.0,44743.86,35964.43,9523.86,8700.43,6822.43,4712.29,5423.57,3823.71,1572.14,1477.86
2020-12-11,4.0,44755.29,34338.29,6529.0,5721.0,7032.43,4398.29,5749.57,3520.43,1161.43,1050.29
2020-12-04,4.0,43016.43,34699.14,5558.57,4757.43,7177.0,4414.43,5882.14,3553.29,1015.71,910.43
2021-01-01,4.0,44564.43,34445.86,9058.14,8254.29,6798.14,4560.43,5397.0,3701.71,1570.14,1380.43
2021-01-29,4.0,44550.71,35423.57,8711.57,8035.71,6802.14,4794.57,5478.71,3902.71,1590.43,1510.0
2020-10-30,4.0,42302.0,32267.71,1889.0,1215.71,6908.43,4107.86,5658.14,3232.43,349.43,266.57
2020-11-20,4.0,42526.43,32815.86,3596.0,2847.0,7086.43,4216.57,5780.14,3370.43,665.43,559.14
2020-07-31,4.0,31513.29,27180.43,1450.29,599.43,6039.86,3457.86,4206.86,2311.29,226.43,113.43
2020-08-07,4.0,32180.0,27288.57,1521.43,575.57,5988.29,3354.0,4275.71,2365.71,228.43,102.14
2020-08-14,4.0,32356.86,27625.29,1451.86,545.43,5924.86,3346.29,4231.14,2372.86,213.0,104.0
2020-08-21,4.0,31629.57,27436.71,1335.29,484.71,5870.29,3388.86,4166.0,2376.29,210.0,103.43
2020-08-28,4.0,32411.43,28279.0,1271.0,437.14,6102.29,3523.43,4329.0,2495.29,189.0,95.43
2020-09-04,4.0,33530.43,28760.71,1262.57,447.43,6342.0,3638.43,4465.43,2514.86,198.57,108.43
2020-09-11,4.0,33258.86,29525.86,1179.86,467.29,6733.29,3709.14,4810.29,2513.29,197.43,114.0
2020-09-18,4.0,33724.43,29884.0,1165.43,485.14,6326.0,3751.43,4438.0,2547.86,208.29,125.0
2020-09-25,4.0,32909.43,29856.43,1216.0,556.0,6173.29,3830.0,4235.43,2587.57,219.86,126.0
2020-10-02,4.0,33501.71,29167.14,1338.86,648.86,6238.43,3684.57,4372.57,2546.86,244.86,142.86
2020-10-09,4.0,36312.43,30420.43,1583.43,882.29,6466.71,3860.14,4859.43,2829.14,291.14,187.57
2020-10-16,4.0,38591.43,31841.71,1691.71,965.57,6686.43,4042.71,5168.57,3024.71,309.71,205.43
2020-10-23,4.0,40554.71,31926.86,1746.71,1051.86,6742.71,4043.57,5411.0,3112.0,344.57,229.43
2020-11-06,4.0,42378.86,33213.0,2346.0,1576.71,6890.86,4160.86,5620.57,3276.71,398.14,308.43
2020-11-13,4.0,42597.57,33411.71,2878.29,2132.29,7023.71,4171.57,5712.57,3311.14,497.86,398.57
2020-11-27,4.0,42860.0,32986.29,4489.29,3731.86,7299.43,4146.0,5939.71,3356.43,803.57,704.43
