date,boundary,total_adult_inpatient,used_inpatient,total_adult_confirmed_and_suspected_covid,total_adult_confirmed_covid,total_icu,used_icu,total_staffed_adult_icu,used_staffed_adult_icu,staffed_icu_adult_confirmed_and_suspected_covid,staffed_icu_adult_confirmed_covid
2020-07-31,0.0,31513.29,27180.43,1444.0,593.71,6039.86,3457.29,4206.86,2310.71,215.57,105.43
2020-10-16,0.0,38591.43,31841.71,1685.43,960.43,6686.43,4042.71,5168.57,3024.14,299.43,196.29
2020-10-23,0.0,40554.71,31927.29,1743.14,1050.14,6742.71,4043.0,5411.0,3111.57,334.29,219.14
2021-01-29,0.0,44514.14,35402.14,8708.71,8032.29,6798.14,4793.43,5474.71,3901.57,1587.57,1507.14
2020-11-06,0.0,42378.86,33213.0,2340.86,1572.14,6890.86,4160.86,5620.57,3276.71,389.57,299.86
2020-11-13,0.0,42597.57,33411.29,2875.43,2130.86,7023.86,4171.71,5712.57,3310.71,489.29,387.29
2020-11-20,0.0,42526.43,32815.86,3593.71,2842.43,7086.43,4216.57,5780.14,3370.43,662.0,555.71
2020-11-27,0.0,42860.0,32986.29,4488.14,3731.86,7299.43,4146.0,5939.71,3356.43,801.86,701.0
2020-12-04,0.0,43016.43,34699.14,5556.29,4755.14,7177.0,4414.43,5882.14,3553.29,1012.86,907.57
2020-12-11,0.0,44755.29,34338.29,6527.86,5720.43,7032.43,4397.71,5749.57,3519.86,1161.43,1050.29
2020-12-18,0.0,46445.71,33986.29,7361.57,6607.29,6993.86,4387.14,5748.0,3548.71,1225.86,1125.86
2020-12-25,0.0,45812.86,32963.43,8311.86,7549.43,6882.0,4344.43,5602.86,3527.86,1329.57,1233.14
2021-01-01,0.0,44564.43,34445.86,9058.14,8253.71,6798.14,4560.43,5397.0,3701.71,1569.57,1379.86
2021-01-08,0.0,44743.86,35963.86,9521.57,8698.14,6822.43,4712.29,5423.57,3823.71,1570.43,1476.14
2021-01-15,0.0,44772.14,36088.71,9776.14,9025.71,6823.43,4726.57,5430.14,3864.29,1638.14,1555.14
2021-01-22,0.0,44735.86,36263.0,9352.29,8665.14,6760.86,4759.86,5422.57,3881.14,1633.29,1558.0
2020-10-09,0.0,36312.43,30420.43,1574.71,873.71,6466.71,3859.57,4859.43,2828.57,280.86,179.0
2020-10-02,0.0,33500.14,29163.86,1331.0,641.71,6238.14,3684.71,4372.14,2546.0,230.14,131.14
2020-10-30,0.0,42302.0,32267.71,1883.29,1210.0,6908.43,4107.86,5658.14,3232.43,337.43,254.57
2020-08-28,0.0,32438.43,28289.71,1269.71,430.57,6101.71,3522.43,4328.57,2494.71,179.86,87.14
2020-08-21,0.0,31629.57,27436.71,1329.57,478.43,5870.29,3388.29,4166.0,2375.71,198.0,94.86
2020-09-04,0.0,33530.43,28760.14,1252.86,440.0,6342.0,3637.86,4465.43,2514.29,189.43,99.29
2020-08-14,0.0,32356.86,27625.29,1447.86,539.71,5924.86,3345.71,4230.57,2371.71,201.0,94.86
2020-08-07,0.0,32180.0,27288.57,1516.86,572.14,5988.29,3353.43,4275.71,2365.14,213.57,95.86
2020-09-11,0.0,33267.0,29523.57,1175.0,461.0,6733.14,3707.57,4810.29,2511.86,188.71,102.57
2020-09-25,0.0,32909.43,29852.57,1211.14,547.71,6173.57,3829.57,4236.86,2586.71,209.57,117.29
2020-09-18,0.0,33724.43,29883.43,1159.14,475.43,6326.0,3751.43,4438.0,2547.86,193.43,114.14
2021-01-15,4.0,44772.14,36088.71,9778.43,9028.57,6823.43,4726.57,5430.14,3864.29,1640.43,1557.43
2021-01-08,4.0,44743.86,35964.43,9523.86,8700.43,6822.43,4712.29,5423.57,3823.71,1572.14,1477.86
2020-08-07,4.0,32180.0,27288.57,1521.43,575.57,5988.29,3354.0,4275.71,2365.71,228.43,102.14
2020-12-11,4.0,44755.29,34338.29,6529.0,5721.0,7032.43,4398.29,5749.57,3520.43,1161.43,1050.29
2021-01-01,4.0,44564.43,34445.86,9058.14,8254.29,6798.14,4560.43,5397.0,3701.71,1570.14,1380.43
2020-07-31,4.0,31513.29,27180.43,1450.29,599.43,6039.86,3457.86,4206.86,2311.29,226.43,113.43
2020-12-25,4.0,45812.86,32963.43,8314.14,7551.71,6882.0,4345.0,5602.86,3528.43,1330.14,1233.71
2021-01-22,4.0,44735.86,36263.0,9352.86,8666.29,6761.43,4759.86,5422.57,3881.14,1634.43,1558.57
2020-08-14,4.0,32356.86,27625.29,1451.86,545.43,5924.86,3346.29,4231.14,2372.86,213.0,104.0
2020-12-18,4.0,46445.71,33986.86,7362.71,6607.86,6993.86,4387.14,5748.0,3548.71,1227.0,1127.57
2020-08-21,4.0,31629.57,27436.71,1335.29,484.71,5870.29,3388.86,4166.0,2376.29,210.0,103.43
2020-10-02,4.0,33500.14,29164.43,1337.86,648.0,6238.71,3684.71,4372.71,2546.57,244.43,142.57
2020-09-25,4.0,32909.43,29853.14,1216.29,555.71,6173.57,3829.57,4236.86,2586.71,219.86,125.86
2020-11-27,4.0,42860.0,32986.29,4489.29,3731.86,7299.43,4146.0,5939.71,3356.43,803.57,704.43
2020-08-28,4.0,32438.43,28289.71,1275.43,436.86,6101.71,3523.57,4328.57,2495.86,189.0,94.57
2020-11-20,4.0,42526.43,32815.86,3596.0,2847.0,7086.43,4216.57,5780.14,3370.43,665.43,559.14
2020-11-13,4.0,42597.57,33411.29,2878.29,2133.14,7023.86,4171.71,5712.57,3310.71,497.86,398.71
2020-09-04,4.0,33530.43,28760.71,1262.57,447.43,6342.0,3638.43,4465.43,2514.86,198.57,108.43
2020-11-06,4.0,42378.86,33213.0,2346.0,1576.71,6890.86,4160.86,5620.57,3276.71,398.14,308.43
2020-10-30,4.0,42302.0,32267.71,1889.0,1215.71,6908.43,4107.86,5658.14,3232.43,349.43,266.57
2020-09-11,4.0,33267.0,29523.57,1180.14,467.29,6733.14,3708.71,4810.29,2513.0,197.29,114.0
2020-10-23,4.0,40554.71,31927.29,1746.57,1051.86,6742.71,4043.57,5411.0,3112.14,344.57,229.43
2020-10-16,4.0,38591.43,31841.71,1691.71,965.57,6686.43,4042.71,5168.57,3024.71,309.71,205.43
2020-09-18,4.0,33724.43,29884.0,1165.43,485.14,6326.0,3751.43,4438.0,2547.86,208.29,125.0
2020-10-09,4.0,36312.43,30420.43,1583.29,882.29,6466.71,3860.14,4859.43,2829.14,291.14,187.57
2020-12-04,4.0,43016.43,34699.14,5558.57,4757.43,7177.0,4414.43,5882.14,3553.29,1015.71,910.43
2021-01-29,4.0,44514.14,35402.14,8708.71,8032.86,6798.14,4793.43,5474.71,3901.57,1590.43,1510.0
