date,total_adult_inpatient_sum,used_inpatient_sum,total_adult_confirmed_and_suspected_covid_sum,total_adult_confirmed_covid_sum,total_icu_sum,used_icu_sum,total_staffed_adult_icu_sum,used_staffed_adult_icu_sum,staffed_icu_adult_confirmed_and_suspected_covid_sum,staffed_icu_adult_confirmed_covid_sum
2020-07-31,31513.29,27180.43,1450.29,599.43,6039.86,3457.86,4206.86,2311.29,226.43,113.43
2020-08-07,32180.0,27288.57,1521.43,575.57,5988.29,3354.0,4275.71,2365.71,228.43,102.14
2020-08-14,32356.86,27625.29,1451.86,545.43,5924.86,3346.29,4231.14,2372.86,213.0,104.0
2020-08-21,31629.57,27436.71,1335.29,484.71,5870.29,3388.86,4166.0,2376.29,210.0,103.43
2020-08-28,32438.43,28289.71,1275.43,436.86,6101.71,3523.57,4328.57,2495.86,189.0,94.57
2020-09-04,33530.43,28760.71,1262.57,447.43,6342.0,3638.43,4465.43,2514.86,198.57,108.43
2020-09-11,33267.0,29523.57,1180.14,467.29,6733.14,3708.71,4810.29,2513.0,197.29,114.0
2020-09-18,33724.43,29884.0,1165.43,485.14,6326.0,3751.43,4438.0,2547.86,208.29,125.0
2020-09-25,32909.43,29853.14,1216.29,555.71,6173.57,3829.57,4236.86,2586.71,219.86,125.86
2020-10-02,33500.14,29164.43,1337.86,648.0,6238.71,3684.71,4372.71,2546.57,244.43,142.57
2020-10-09,36312.43,30420.43,1583.29,882.29,6466.71,3860.14,4859.43,2829.14,291.14,187.57
2020-10-16,38591.43,31841.71,1691.71,965.57,6686.43,4042.71,5168.57,3024.71,309.71,205.43
2020-10-23,40554.71,31927.29,1746.57,1051.86,6742.71,4043.57,5411.0,3112.14,344.57,229.43
2020-10-30,42302.0,32267.71,1889.0,1215.71,6908.43,4107.86,5658.14,3232.43,349.43,266.57
2020-11-06,42378.86,33213.0,2346.0,1576.71,6890.86,4160.86,5620.57,3276.71,398.14,308.43
2020-11-13,42597.57,33411.29,2878.29,2133.14,7023.86,4171.71,5712.57,3310.71,497.86,398.71
2020-11-20,42526.43,32815.86,3596.0,2847.0,7086.43,4216.57,5780.14,3370.43,665.43,559.14
2020-11-27,42860.0,32986.29,4489.29,3731.86,7299.43,4146.0,5939.71,3356.43,803.57,704.43
2020-12-04,43016.43,34699.14,5558.57,4757.43,7177.0,4414.43,5882.14,3553.29,1015.71,910.43
2020-12-11,44755.29,34338.29,6529.0,5721.0,7032.43,4398.29,5749.57,3520.43,1161.43,1050.29
2020-12-18,46445.71,33986.86,7362.71,6607.86,6993.86,4387.14,5748.0,3548.71,1227.0,1127.57
2020-12-25,45812.86,32963.43,8314.14,7551.71,6882.0,4345.0,5602.86,3528.43,1330.14,1233.71
2021-01-01,44564.43,34445.86,9058.14,8254.29,6798.14,4560.43,5397.0,3701.71,1570.14,1380.43
2021-01-08,44743.86,35964.43,9523.86,8700.43,6822.43,4712.29,5423.57,3823.71,1572.14,1477.86
2021-01-15,44772.14,36088.71,9778.43,9028.57,6823.43,4726.57,5430.14,3864.29,1640.43,1557.43
2021-01-22,44735.86,36263.0,9352.86,8666.29,6761.43,4759.86,5422.57,3881.14,1634.43,1558.57
2021-01-29,44514.14,35402.14,8708.71,8032.86,6798.14,4793.43,5474.71,3901.57,1590.43,1510.0
