date,fips,county,boundary,total_adult_inpatient,used_inpatient,total_adult_confirmed_and_suspected_covid,total_adult_confirmed_covid,total_icu,used_icu,total_staffed_adult_icu,used_staffed_adult_icu,staffed_icu_adult_confirmed_and_suspected_covid,staffed_icu_adult_confirmed_covid
2020-07-31,36001,Albany,0.0,470.0,319.29,9.86,9.29,48.29,25.43,28.29,16.86,0.0,0.0
2020-07-31,36003,Allegany,0.0,59.57,31.14,0.57,0.0,10.0,1.57,10.0,1.29,0.0,0.0
2020-07-31,36005,Bronx,0.0,3621.14,2125.57,86.43,70.71,523.0,302.0,410.43,202.0,10.71,6.29
2020-07-31,36007,Broome,0.0,577.57,323.29,20.57,20.29,60.86,37.57,60.86,36.71,9.43,9.43
2020-07-31,36009,Cattaraugus,0.0,91.29,91.43,2.29,0.0,4.71,4.71,4.71,0.0,0.0,0.0
2020-07-31,36011,Cayuga,0.0,0.0,70.71,6.0,1.14,19.0,5.57,19.0,5.57,0.0,0.0
2020-07-31,36013,Chautauqua,0.0,200.0,166.86,3.57,3.43,32.86,30.29,32.86,29.57,2.57,2.57
2020-07-31,36015,Chemung,0.0,165.0,127.57,0.0,0.0,20.0,16.0,20.0,16.0,0.0,0.0
2020-07-31,36017,Chenango,0.0,0.0,9.71,0.0,0.0,7.0,1.29,0.0,0.0,0.0,0.0
2020-07-31,36019,Clinton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36021,Columbia,0.0,49.43,49.43,4.29,1.57,5.71,2.71,0.0,2.71,0.0,0.0
2020-07-31,36023,Cortland,0.0,44.0,22.57,0.0,0.0,6.86,3.29,6.86,3.29,0.0,0.0
2020-07-31,36025,Delaware,0.0,54.0,15.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36027,Dutchess,0.0,463.0,331.57,31.0,2.57,47.0,39.43,32.0,25.57,3.43,1.0
2020-07-31,36029,Erie,0.0,1839.43,1525.57,47.86,28.29,433.71,154.29,323.14,121.86,8.43,3.0
2020-07-31,36031,Essex,0.0,0.0,8.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36033,Franklin,0.0,102.57,27.57,5.57,0.0,11.86,1.0,11.86,1.0,0.71,0.0
2020-07-31,36035,Fulton,0.0,0.0,28.57,2.0,0.0,8.0,5.43,8.0,5.43,0.86,0.0
2020-07-31,36037,Genesee,0.0,0.0,29.86,0.0,0.0,11.14,2.14,0.0,0.0,0.0,0.0
2020-07-31,36039,Greene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36041,Hamilton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36043,Herkimer,0.0,0.0,14.86,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36045,Jefferson,0.0,19.57,29.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36047,Kings,0.0,3260.71,1940.0,159.71,52.0,352.86,231.71,269.86,175.71,32.29,15.14
2020-07-31,36049,Lewis,0.0,0.0,5.57,0.0,0.0,3.43,0.71,0.0,0.0,0.0,0.0
2020-07-31,36051,Livingston,0.0,36.0,23.29,0.0,0.0,8.0,4.0,8.0,3.86,0.0,0.0
2020-07-31,36053,Madison,0.0,35.43,35.14,2.71,1.86,9.43,2.57,6.57,2.57,0.0,0.0
2020-07-31,36055,Monroe,0.0,1377.0,1711.57,17.57,11.86,384.0,187.14,204.0,119.14,1.71,1.71
2020-07-31,36057,Montgomery,0.0,100.29,39.14,1.29,0.0,10.29,5.29,9.43,5.29,0.0,0.0
2020-07-31,36059,Nassau,0.0,2482.86,1855.71,88.0,42.71,392.43,216.14,374.43,181.0,13.43,5.14
2020-07-31,36063,Niagara,0.0,281.0,137.86,4.86,1.86,29.0,12.0,29.0,12.0,0.71,0.0
2020-07-31,36065,Oneida,0.0,0.0,42.86,25.29,11.86,10.0,2.43,0.0,0.0,4.43,3.0
2020-07-31,36067,Onondaga,0.0,1057.0,913.29,11.86,9.14,197.0,142.14,162.0,126.0,3.86,3.57
2020-07-31,36069,Ontario,0.0,218.0,145.43,1.14,0.71,33.71,13.57,26.0,11.14,0.0,0.0
2020-07-31,36071,Orange,0.0,284.29,313.71,11.86,3.14,117.14,34.43,67.86,16.29,2.43,1.0
2020-07-31,36073,Orleans,0.0,0.0,8.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36075,Oswego,0.0,123.0,58.14,1.0,0.0,17.0,4.43,17.0,4.43,0.0,0.0
2020-07-31,36077,Otsego,0.0,23.14,133.29,5.71,2.14,21.43,17.71,0.0,17.0,0.0,0.0
2020-07-31,36079,Putnam,0.0,114.0,54.86,1.14,0.71,10.0,3.14,10.0,3.14,0.0,0.0
2020-07-31,36081,Queens,0.0,2847.86,2448.57,237.57,75.0,687.14,268.0,495.57,164.0,40.57,11.86
2020-07-31,36083,Rensselaer,0.0,174.0,148.57,12.43,11.29,18.71,13.71,18.71,13.71,2.0,1.57
2020-07-31,36085,Richmond,0.0,505.14,587.0,39.29,12.43,123.57,68.0,86.57,36.57,6.71,3.43
2020-07-31,36087,Rockland,0.0,0.0,0.0,5.57,2.29,0.0,0.0,0.0,0.0,0.71,0.0
2020-07-31,36091,Saratoga,0.0,0.0,89.14,2.43,2.43,17.71,14.43,0.0,14.43,0.86,0.86
2020-07-31,36093,Schenectady,0.0,270.0,171.29,4.0,0.0,37.71,28.14,37.71,28.14,2.71,0.0
2020-07-31,36095,Schoharie,0.0,31.0,13.86,0.86,0.57,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36097,Schuyler,0.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36099,Seneca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36101,Steuben,0.0,19.0,51.86,0.0,0.0,8.0,2.71,0.0,2.71,0.0,0.0
2020-07-31,36103,Suffolk,0.0,2079.86,1780.0,134.86,38.14,373.86,216.71,314.71,185.43,12.71,5.43
2020-07-31,36105,Sullivan,0.0,62.14,50.0,1.71,0.0,13.57,4.0,13.57,4.0,0.0,0.0
2020-07-31,36107,Tioga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36109,Tompkins,0.0,85.71,80.57,1.29,0.0,16.0,7.43,16.0,7.43,0.0,0.0
2020-07-31,36111,Ulster,0.0,153.0,110.43,2.86,0.86,13.0,5.43,13.0,5.43,0.0,0.0
2020-07-31,36113,Warren,0.0,206.0,169.71,2.43,1.0,22.0,13.57,22.0,13.57,0.0,0.0
2020-07-31,36115,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36117,Wayne,0.0,0.0,50.14,0.0,0.0,12.0,6.29,0.0,0.0,0.0,0.0
2020-07-31,36119,Westchester,0.0,981.14,987.43,89.0,30.86,359.86,157.29,182.71,42.86,7.71,3.71
2020-07-31,36121,Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36123,Yates,0.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36061,New York,0.0,6859.86,7528.14,351.86,140.0,1475.71,1133.57,851.71,643.71,46.57,26.71
2020-07-31,99999,New York City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36089,St. Lawrence,0.0,45.29,121.71,3.57,3.57,15.29,7.86,2.43,3.29,0.0,0.0
2020-07-31,90036,Unassigned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36001,Albany,0.0,470.0,342.43,8.86,8.57,48.0,23.43,28.0,17.86,1.43,1.43
2020-08-07,36003,Allegany,0.0,58.14,27.43,1.0,0.57,10.0,2.14,10.0,2.14,0.0,0.0
2020-08-07,36005,Bronx,0.0,3545.71,2133.29,88.14,74.0,506.43,295.71,394.71,194.14,10.43,5.71
2020-08-07,36007,Broome,0.0,426.0,247.71,12.29,12.29,41.14,26.43,41.14,26.43,6.71,6.71
2020-08-07,36009,Cattaraugus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36011,Cayuga,0.0,0.0,63.71,3.71,0.0,19.0,4.43,19.0,4.43,0.0,0.0
2020-08-07,36013,Chautauqua,0.0,159.86,118.43,0.0,0.0,16.71,9.14,16.71,6.43,0.0,0.0
2020-08-07,36015,Chemung,0.0,165.0,123.43,0.0,0.0,20.0,15.0,20.0,15.0,0.0,0.0
2020-08-07,36017,Chenango,0.0,0.0,8.71,0.0,0.0,7.0,1.86,0.0,0.0,0.0,0.0
2020-08-07,36019,Clinton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36021,Columbia,0.0,57.43,57.43,2.43,2.0,7.14,2.29,0.0,2.0,0.0,0.0
2020-08-07,36023,Cortland,0.0,55.0,29.29,0.0,0.0,8.57,3.43,8.57,3.43,0.0,0.0
2020-08-07,36025,Delaware,0.0,56.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36027,Dutchess,0.0,448.0,344.71,39.43,2.57,48.14,39.57,32.0,25.86,3.29,1.0
2020-08-07,36029,Erie,0.0,1914.43,1460.29,36.57,21.29,426.57,148.29,341.71,132.86,7.57,3.0
2020-08-07,36031,Essex,0.0,3.57,12.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36033,Franklin,0.0,151.0,45.0,5.71,0.0,17.0,1.57,17.0,1.57,1.0,0.0
2020-08-07,36035,Fulton,0.0,0.0,25.29,3.57,0.0,8.0,6.14,8.0,6.14,1.43,0.0
2020-08-07,36037,Genesee,0.0,0.0,24.57,0.0,0.0,11.14,3.0,0.0,0.0,0.0,0.0
2020-08-07,36039,Greene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36041,Hamilton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36043,Herkimer,0.0,0.0,16.57,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36045,Jefferson,0.0,20.0,29.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36047,Kings,0.0,3316.29,2026.0,177.14,49.29,352.0,236.14,270.0,185.29,30.86,14.0
