date,fips,county,hospital_pk,total_adult_inpatient_sum,used_inpatient_sum,total_adult_confirmed_and_suspected_covid_sum,total_adult_confirmed_covid_sum,total_icu_sum,used_icu_sum,total_staffed_adult_icu_sum,used_staffed_adult_icu_sum,staffed_icu_adult_confirmed_and_suspected_covid_sum,staffed_icu_adult_confirmed_covid_sum
2020-07-31,36001,Albany,330057,3290.0,2235.0,69.0,65.0,338.0,178.0,198.0,118.0,0.0,0.0
2020-07-31,36003,Allegany,330096,417.0,218.0,4.0,0.0,70.0,11.0,70.0,9.0,0.0,0.0
2020-07-31,36005,Bronx,330385,25348.0,14879.0,605.0,495.0,3661.0,2114.0,2873.0,1414.0,75.0,44.0
2020-07-31,36007,Broome,330394,4043.0,2263.0,144.0,142.0,426.0,263.0,426.0,257.0,66.0,66.0
2020-07-31,36009,Cattaraugus,330103,639.0,640.0,16.0,0.0,33.0,33.0,33.0,0.0,0.0,0.0
2020-07-31,36011,Cayuga,330235,0.0,495.0,42.0,8.0,133.0,39.0,133.0,39.0,0.0,0.0
2020-07-31,36013,Chautauqua,330166,1400.0,1168.0,25.0,24.0,230.0,212.0,230.0,207.0,18.0,18.0
2020-07-31,36015,Chemung,330090,1155.0,893.0,0.0,0.0,140.0,112.0,140.0,112.0,0.0,0.0
2020-07-31,36017,Chenango,330033,0.0,68.0,0.0,0.0,49.0,9.0,0.0,0.0,0.0,0.0
2020-07-31,36019,Clinton,330250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36021,Columbia,330094,346.0,346.0,30.0,11.0,40.0,19.0,0.0,19.0,0.0,0.0
2020-07-31,36023,Cortland,330175,308.0,158.0,0.0,0.0,48.0,23.0,48.0,23.0,0.0,0.0
2020-07-31,36025,Delaware,331304,378.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36027,Dutchess,330023,3241.0,2321.0,217.0,18.0,329.0,276.0,224.0,179.0,24.0,7.0
2020-07-31,36029,Erie,3ee47674-d986-48d8-83e5-58a306cae975,13373.0,11779.0,335.0,198.0,3862.0,1574.0,2262.0,853.0,59.0,21.0
2020-07-31,36031,Essex,331302,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36033,Franklin,330084,718.0,193.0,39.0,0.0,83.0,7.0,83.0,7.0,5.0,0.0
2020-07-31,36035,Fulton,330276,0.0,200.0,14.0,0.0,56.0,38.0,56.0,38.0,6.0,0.0
2020-07-31,36037,Genesee,330073,0.0,209.0,0.0,0.0,78.0,15.0,0.0,0.0,0.0,0.0
2020-07-31,36039,Greene,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36041,Hamilton,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36043,Herkimer,331311,0.0,104.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36045,Jefferson,331309,137.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36047,Kings,330201,22825.0,13580.0,1118.0,364.0,2470.0,1622.0,1889.0,1230.0,226.0,106.0
2020-07-31,36049,Lewis,331317,0.0,39.0,0.0,0.0,24.0,5.0,0.0,0.0,0.0,0.0
2020-07-31,36051,Livingston,330238,252.0,163.0,0.0,0.0,56.0,28.0,56.0,27.0,0.0,0.0
2020-07-31,36053,Madison,331316,248.0,246.0,19.0,13.0,66.0,18.0,46.0,18.0,0.0,0.0
2020-07-31,36055,Monroe,330285,9639.0,11981.0,123.0,83.0,2688.0,1310.0,1428.0,834.0,12.0,12.0
2020-07-31,36057,Montgomery,330047,702.0,274.0,9.0,0.0,72.0,37.0,66.0,37.0,0.0,0.0
2020-07-31,36059,Nassau,330332,17380.0,12990.0,616.0,299.0,2747.0,1513.0,2621.0,1267.0,94.0,36.0
2020-07-31,36063,Niagara,330188,1967.0,965.0,34.0,13.0,203.0,84.0,203.0,84.0,5.0,0.0
2020-07-31,36065,Oneida,330215,0.0,300.0,177.0,83.0,70.0,17.0,0.0,0.0,31.0,21.0
2020-07-31,36067,Onondaga,330241,7399.0,6393.0,83.0,64.0,1379.0,995.0,1134.0,882.0,27.0,25.0
2020-07-31,36069,Ontario,330058,1526.0,1018.0,8.0,5.0,236.0,95.0,182.0,78.0,0.0,0.0
2020-07-31,36071,Orange,330205,1990.0,2196.0,83.0,22.0,820.0,241.0,475.0,114.0,17.0,7.0
2020-07-31,36073,Orleans,331319,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36075,Oswego,330218,861.0,407.0,7.0,0.0,119.0,31.0,119.0,31.0,0.0,0.0
2020-07-31,36077,Otsego,330085,162.0,933.0,40.0,15.0,150.0,124.0,0.0,119.0,0.0,0.0
2020-07-31,36079,Putnam,330273,798.0,384.0,8.0,5.0,70.0,22.0,70.0,22.0,0.0,0.0
2020-07-31,36081,Queens,330395,19935.0,17140.0,1663.0,525.0,4810.0,1876.0,3469.0,1148.0,284.0,83.0
2020-07-31,36083,Rensselaer,330180,1218.0,1040.0,87.0,79.0,131.0,96.0,131.0,96.0,14.0,11.0
2020-07-31,36085,Richmond,330028,3536.0,4109.0,275.0,87.0,865.0,476.0,606.0,256.0,47.0,24.0
2020-07-31,36087,Rockland,330104,0.0,0.0,39.0,16.0,0.0,0.0,0.0,0.0,5.0,0.0
2020-07-31,36091,Saratoga,330222,0.0,624.0,17.0,17.0,124.0,101.0,0.0,101.0,6.0,6.0
2020-07-31,36093,Schenectady,330153,1890.0,1199.0,28.0,0.0,264.0,197.0,264.0,197.0,19.0,0.0
2020-07-31,36095,Schoharie,331320,217.0,97.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36097,Schuyler,331313,182.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36099,Seneca,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36101,Steuben,330277,133.0,363.0,0.0,0.0,56.0,19.0,0.0,19.0,0.0,0.0
2020-07-31,36103,Suffolk,330043,14559.0,12460.0,944.0,267.0,2617.0,1517.0,2203.0,1298.0,89.0,38.0
2020-07-31,36105,Sullivan,330386,435.0,350.0,12.0,0.0,95.0,28.0,95.0,28.0,0.0,0.0
2020-07-31,36107,Tioga,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36109,Tompkins,330307,600.0,564.0,9.0,0.0,112.0,52.0,112.0,52.0,0.0,0.0
2020-07-31,36111,Ulster,331310,1071.0,773.0,20.0,6.0,91.0,38.0,91.0,38.0,0.0,0.0
2020-07-31,36113,Warren,330191,1442.0,1188.0,17.0,7.0,154.0,95.0,154.0,95.0,0.0,0.0
2020-07-31,36115,Washington,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36117,Wayne,330030,0.0,351.0,0.0,0.0,84.0,44.0,0.0,0.0,0.0,0.0
2020-07-31,36119,Westchester,330267,6868.0,6912.0,623.0,216.0,2519.0,1101.0,1279.0,300.0,54.0,26.0
2020-07-31,36121,Wyoming,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36123,Yates,331314,126.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36061,New York,330154,48019.0,52697.0,2463.0,980.0,10330.0,7935.0,5962.0,4506.0,326.0,187.0
2020-07-31,99999,New York City,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36089,St. Lawrence,330223,317.0,852.0,25.0,25.0,107.0,55.0,17.0,23.0,0.0,0.0
2020-07-31,90036,Unassigned,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36001,Albany,330057,3290.0,2397.0,62.0,60.0,336.0,164.0,196.0,125.0,10.0,10.0
2020-08-07,36003,Allegany,331301,407.0,192.0,7.0,4.0,70.0,15.0,70.0,15.0,0.0,0.0
2020-08-07,36005,Bronx,330059,24820.0,14933.0,617.0,518.0,3545.0,2070.0,2763.0,1359.0,73.0,40.0
2020-08-07,36007,Broome,330011,2982.0,1734.0,86.0,86.0,288.0,185.0,288.0,185.0,47.0,47.0
2020-08-07,36009,Cattaraugus,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36011,Cayuga,330235,0.0,446.0,26.0,0.0,133.0,31.0,133.0,31.0,0.0,0.0
2020-08-07,36013,Chautauqua,330229,1119.0,829.0,0.0,0.0,117.0,64.0,117.0,45.0,0.0,0.0
2020-08-07,36015,Chemung,330090,1155.0,864.0,0.0,0.0,140.0,105.0,140.0,105.0,0.0,0.0
2020-08-07,36017,Chenango,330033,0.0,61.0,0.0,0.0,49.0,13.0,0.0,0.0,0.0,0.0
2020-08-07,36019,Clinton,330250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36021,Columbia,330094,402.0,402.0,17.0,14.0,50.0,16.0,0.0,14.0,0.0,0.0
2020-08-07,36023,Cortland,330175,385.0,205.0,0.0,0.0,60.0,24.0,60.0,24.0,0.0,0.0
2020-08-07,36025,Delaware,331305,392.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36027,Dutchess,330023,3136.0,2413.0,276.0,18.0,337.0,277.0,224.0,181.0,23.0,7.0
2020-08-07,36029,Erie,330005,13898.0,11267.0,256.0,149.0,3812.0,1519.0,2392.0,930.0,53.0,21.0
2020-08-07,36031,Essex,331302,25.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36033,Franklin,330084,1057.0,315.0,40.0,0.0,119.0,11.0,119.0,11.0,7.0,0.0
2020-08-07,36035,Fulton,330276,0.0,177.0,25.0,0.0,56.0,43.0,56.0,43.0,10.0,0.0
2020-08-07,36037,Genesee,330073,0.0,172.0,0.0,0.0,78.0,21.0,0.0,0.0,0.0,0.0
2020-08-07,36039,Greene,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36041,Hamilton,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36043,Herkimer,331311,0.0,116.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36045,Jefferson,331318,140.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36047,Kings,330194,23214.0,14182.0,1240.0,345.0,2464.0,1653.0,1890.0,1297.0,216.0,98.0
2020-08-07,36049,Lewis,331317,0.0,52.0,0.0,0.0,30.0,12.0,0.0,0.0,0.0,0.0
2020-08-07,36051,Livingston,330238,252.0,207.0,0.0,0.0,56.0,31.0,56.0,31.0,0.0,0.0
2020-08-07,36053,Madison,331316,285.0,264.0,25.0,11.0,70.0,30.0,47.0,30.0,0.0,0.0
2020-08-07,36055,Monroe,330285,9639.0,11740.0,139.0,83.0,2780.0,1266.0,1428.0,825.0,28.0,27.0
2020-08-07,36057,Montgomery,330047,468.0,233.0,0.0,0.0,48.0,23.0,44.0,23.0,0.0,0.0
2020-08-07,36059,Nassau,330259,18980.0,14384.0,650.0,345.0,2975.0,1736.0,2849.0,1482.0,132.0,41.0
2020-08-07,36063,Niagara,330188,1880.0,1008.0,29.0,12.0,191.0,106.0,191.0,106.0,4.0,0.0
2020-08-07,36065,Oneida,330245,0.0,282.0,109.0,66.0,70.0,26.0,0.0,0.0,32.0,21.0
2020-08-07,36067,Onondaga,330140,7399.0,6560.0,69.0,45.0,1379.0,1004.0,1134.0,898.0,31.0,23.0
2020-08-07,36069,Ontario,330265,1526.0,991.0,17.0,17.0,236.0,95.0,182.0,72.0,8.0,8.0
2020-08-07,36071,Orange,330135,1990.0,2378.0,76.0,19.0,820.0,225.0,475.0,113.0,11.0,7.0
2020-08-07,36073,Orleans,331319,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36075,Oswego,330218,861.0,446.0,6.0,0.0,119.0,41.0,119.0,41.0,0.0,0.0
2020-08-07,36077,Otsego,330085,100.0,684.0,14.0,0.0,120.0,83.0,0.0,83.0,0.0,0.0
2020-08-07,36079,Putnam,330273,684.0,410.0,0.0,0.0,60.0,16.0,60.0,0.0,0.0,0.0
2020-08-07,36081,Queens,330395,20926.0,18338.0,2211.0,582.0,4813.0,2019.0,3457.0,1217.0,300.0,75.0
2020-08-07,36083,Rensselaer,330180,1221.0,1119.0,84.0,79.0,168.0,91.0,168.0,91.0,14.0,14.0
2020-08-07,36085,Richmond,330160,4389.0,4626.0,180.0,87.0,938.0,506.0,679.0,309.0,49.0,39.0
2020-08-07,36087,Rockland,330104,0.0,513.0,42.0,18.0,48.0,48.0,0.0,0.0,0.0,0.0
2020-08-07,36091,Saratoga,330222,0.0,441.0,5.0,5.0,93.0,75.0,0.0,75.0,0.0,0.0
2020-08-07,36093,Schenectady,330153,2205.0,1351.0,48.0,4.0,308.0,171.0,308.0,171.0,12.0,0.0
2020-08-07,36095,Schoharie,331320,217.0,92.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36097,Schuyler,331313,130.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36099,Seneca,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36101,Steuben,330277,114.0,418.0,10.0,5.0,56.0,39.0,0.0,39.0,0.0,0.0
2020-08-07,36103,Suffolk,330043,15245.0,13770.0,910.0,319.0,2761.0,1742.0,2313.0,1559.0,90.0,30.0
2020-08-07,36105,Sullivan,330386,435.0,338.0,7.0,0.0,95.0,34.0,95.0,34.0,0.0,0.0
2020-08-07,36107,Tioga,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36109,Tompkins,330307,1050.0,649.0,22.0,0.0,112.0,42.0,112.0,42.0,0.0,0.0
2020-08-07,36111,Ulster,330004,1071.0,685.0,30.0,13.0,91.0,26.0,91.0,26.0,0.0,0.0
2020-08-07,36113,Warren,330191,1442.0,1008.0,0.0,0.0,154.0,59.0,154.0,59.0,0.0,0.0
2020-08-07,36115,Washington,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36117,Wayne,330030,0.0,368.0,0.0,0.0,84.0,45.0,0.0,0.0,0.0,0.0
2020-08-07,36119,Westchester,330162,7208.0,4471.0,666.0,223.0,1662.0,341.0,1321.0,332.0,61.0,18.0
2020-08-07,36121,Wyoming,330008,0.0,25.0,0.0,0.0,7.0,5.0,0.0,5.0,0.0,0.0
2020-08-07,36123,Yates,331314,108.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
