date,fips,hospital_pk,total_adult_inpatient_sum,used_inpatient_sum,total_adult_confirmed_and_suspected_covid_sum,total_adult_confirmed_covid_sum,total_icu_sum,used_icu_sum,total_staffed_adult_icu_sum,used_staffed_adult_icu_sum,staffed_icu_adult_confirmed_and_suspected_covid_sum,staffed_icu_adult_confirmed_covid_sum,county
2020-07-31,36001,330057,,,,,,,,,,,Albany
2020-07-31,36003,330096,,,,,,,,,,,Allegany
2020-07-31,36003,331301,,,,,,,,,,,Allegany
2020-07-31,36005,330385,,,,,,,,,,,Bronx
2020-07-31,36005,330399,,,,,,,,,,,Bronx
2020-07-31,36005,330059,,,,,,,,,,,Bronx
2020-07-31,36005,330127,,,,,,,,,,,Bronx
2020-07-31,36005,332006,,,,,,,,,,,Bronx
2020-07-31,36005,330080,,,,,,,,,,,Bronx
2020-07-31,36007,330394,,,,,,,,,,,Broome
2020-07-31,36007,330011,,,,,,,,,,,Broome
2020-07-31,36009,330103,,,,,,,,,,,Cattaraugus
2020-07-31,36011,330235,,,,,,,,,,,Cayuga
2020-07-31,36013,330166,,,,,,,,,,,Chautauqua
2020-07-31,36013,330229,,,,,,,,,,,Chautauqua
2020-07-31,36013,330239,,,,,,,,,,,Chautauqua
2020-07-31,36015,330090,,,,,,,,,,,Chemung
2020-07-31,36017,330033,,,,,,,,,,,Chenango
2020-07-31,36019,330250,,,,,,,,,,,Clinton
2020-07-31,36021,330094,,,,,,,,,,,Columbia
2020-07-31,36023,330175,,,,,,,,,,,Cortland
2020-07-31,36025,331304,,,,,,,,,,,Delaware
2020-07-31,36025,331312,,,,,,,,,,,Delaware
2020-07-31,36025,331305,,,,,,,,,,,Delaware
2020-07-31,36027,330023,,,,,,,,,,,Dutchess
2020-07-31,36027,330049,,,,,,,,,,,Dutchess
2020-07-31,36029,3ee47674-d986-48d8-83e5-58a306cae975,,,,,,,,,,,Erie
2020-07-31,36029,330102,,,,,,,,,,,Erie
2020-07-31,36029,330354,,,,,,,,,,,Erie
2020-07-31,36029,330219,,,,,,,,,,,Erie
2020-07-31,36029,330005,,,,,,,,,,,Erie
2020-07-31,36029,330111,,,,,,,,,,,Erie
2020-07-31,36029,330078,,,,,,,,,,,Erie
2020-07-31,36029,330279,,,,,,,,,,,Erie
2020-07-31,36031,331302,,,,,,,,,,,Essex
2020-07-31,36033,330084,,,,,,,,,,,Franklin
2020-07-31,36033,330079,,,,,,,,,,,Franklin
2020-07-31,36035,330276,,,,,,,,,,,Fulton
2020-07-31,36037,330073,,,,,,,,,,,Genesee
2020-07-31,36043,331311,,,,,,,,,,,Herkimer
2020-07-31,36045,331309,,,,,,,,,,,Jefferson
2020-07-31,36045,331318,,,,,,,,,,,Jefferson
2020-07-31,36047,330201,,,,,,,,,,,Kings
2020-07-31,36047,330019,,,,,,,,,,,Kings
2020-07-31,36047,330196,,,,,,,,,,,Kings
2020-07-31,36047,330396,,,,,,,,,,,Kings
2020-07-31,36047,330236,,,,,,,,,,,Kings
2020-07-31,36047,330221,,,,,,,,,,,Kings
2020-07-31,36047,330194,,,,,,,,,,,Kings
2020-07-31,36047,330397,,,,,,,,,,,Kings
2020-07-31,36047,330350,,,,,,,,,,,Kings
2020-07-31,36047,330233,,,,,,,,,,,Kings
2020-07-31,36047,330202,,,,,,,,,,,Kings
2020-07-31,36047,330056,,,,,,,,,,,Kings
2020-07-31,36049,331317,,,,,,,,,,,Lewis
2020-07-31,36051,330238,,,,,,,,,,,Livingston
2020-07-31,36053,331316,,,,,,,,,,,Madison
2020-07-31,36053,330115,,,,,,,,,,,Madison
2020-07-31,36055,330285,,,,,,,,,,,Monroe
2020-07-31,36055,330226,,,,,,,,,,,Monroe
2020-07-31,36055,330125,,,,,,,,,,,Monroe
2020-07-31,36055,330164,,,,,,,,,,,Monroe
2020-07-31,36057,330047,,,,,,,,,,,Montgomery
2020-07-31,36059,330332,,,,,,,,,,,Nassau
2020-07-31,36059,330182,,,,,,,,,,,Nassau
2020-07-31,36059,330198,,,,,,,,,,,Nassau
2020-07-31,36059,330331,,,,,,,,,,,Nassau
