date,fips,county,hospital_pk,total_adult_inpatient_sum,total_adult_used_inpatient_sum,total_adult_confirmed_and_suspected_covid_sum,total_adult_confirmed_covid_sum,total_icu_sum,used_icu_sum,total_staffed_adult_icu_sum,used_staffed_adult_icu_sum,staffed_icu_adult_confirmed_and_suspected_covid_sum,staffed_icu_adult_confirmed_covid_sum,total_adult_inpatient_avg,total_adult_used_inpatient_avg,total_adult_confirmed_and_suspected_covid_avg,total_adult_confirmed_covid_avg,total_icu_avg,used_icu_avg,total_staffed_adult_icu_avg,used_staffed_adult_icu_avg,staffed_icu_adult_confirmed_and_suspected_covid_avg,staffed_icu_adult_confirmed_covid_avg
2020-03-13,36061,New York,330214,,,,,1610.0,,,,,,,,,,322.0,,,,,
2020-03-13,36061,New York,332008,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-03-13,36069,Ontario,330074,,,,,42.0,,,,,,,,,,7.0,,,,,
2020-03-20,36061,New York,330214,,,,,2191.0,,,,,,,,,,313.0,,,,,
2020-03-20,36081,Queens,330014,,,,,178.0,,,,,,,,,,89.0,,,,,
2020-03-20,36081,Queens,330193,,,,,106.0,,,,,,,,,,53.0,,,,,
2020-03-27,36005,Bronx,330009,,,,,111.0,,,,,,,,,,37.0,,,,,
2020-03-27,36005,Bronx,330127,,,,,,,,,,,,,,,,,,,,
2020-03-27,36005,Bronx,330385,,,,,,,,,,,,,,,,,,,,
2020-03-27,36005,Bronx,330399,,,,,116.0,,,,,,,,,,58.0,,,,,
2020-03-27,36007,Broome,330011,,,,,64.0,,,,,,,,,,16.0,,,,,
2020-03-27,36011,Cayuga,330235,,,,,40.0,,,,,,,,,,10.0,,,,,
2020-03-27,36013,Chautauqua,330166,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-03-27,36029,Erie,330005,,,,,324.0,,,,,,,,,,108.0,,,,,
2020-03-27,36029,Erie,330078,,,,,113.0,,,,,,,,,,37.7,,,,,
2020-03-27,36029,Erie,330102,,,,,45.0,,,,,,,,,,15.0,,,,,
2020-03-27,36029,Erie,330111,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-03-27,36029,Erie,330279,,,,,108.0,,,,,,,,,,36.0,,,,,
2020-03-27,36029,Erie,330354,,,,,,,,,,,,,,,,,,,,
2020-03-27,36033,Franklin,330084,,,,,35.0,,,,,,,,,,5.0,,,,,
2020-03-27,36045,Jefferson,330157,,,,,39.0,,,,,,,,,,9.8,,,,,
2020-03-27,36045,Jefferson,331309,,,,,,,,,,,,,,,,,,,,
2020-03-27,36047,Kings,330194,,,,,,,,,,,,,,,,,,,,
2020-03-27,36047,Kings,330196,,,,,,,,,,,,,,,,,,,,
2020-03-27,36047,Kings,330201,,,,,100.0,,,,,,,,,,20.0,,,,,
2020-03-27,36047,Kings,330202,,,,,,,,,,,,,,,,,,,,
2020-03-27,36047,Kings,330221,,,,,,,,,,,,,,,,,,,,
2020-03-27,36047,Kings,330233,,,,,,,,,,,,,,,,,,,,
2020-03-27,36047,Kings,330236,,,,,302.0,,,,,,,,,,75.5,,,,,
2020-03-27,36047,Kings,330350,,,,,40.0,,,,,,,,,,40.0,,,,,
2020-03-27,36047,Kings,330396,,,,,179.0,,,,,,,,,,44.8,,,,,
2020-03-27,36051,Livingston,330238,,,,,32.0,,,,,,,,,,8.0,,,,,
2020-03-27,36055,Monroe,330285,,,,,1455.0,,,,,,,,,,207.9,,,,,
