date,fips,county,hospital_pk,total_adult_inpatient,used_inpatient,total_adult_confirmed_and_suspected_covid,total_adult_confirmed_covid,total_icu,used_icu,total_staffed_adult_icu,used_staffed_adult_icu,staffed_icu_adult_confirmed_and_suspected_covid,staffed_icu_adult_confirmed_covid
2020-07-31,36001,Albany,330057,3290.0,2235.0,69.0,65.0,338.0,178.0,198.0,118.0,-999999.0,-999999.0
2020-07-31,36003,Allegany,330096,371.0,172.0,4.0,-999999.0,70.0,11.0,70.0,9.0,,
2020-07-31,36003,Allegany,331301,46.0,46.0,,,0.0,0.0,,,,
2020-07-31,36005,Bronx,332006,1525.0,1297.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36005,Bronx,330080,5070.0,1422.0,51.0,19.0,377.0,221.0,314.0,162.0,5.0,0.0
2020-07-31,36005,Bronx,330127,3608.0,2131.0,78.0,32.0,490.0,418.0,430.0,266.0,28.0,13.0
2020-07-31,36005,Bronx,330399,2037.0,1344.0,29.0,9.0,392.0,258.0,308.0,245.0,10.0,-999999.0
2020-07-31,36005,Bronx,330385,3259.0,649.0,26.0,14.0,946.0,103.0,946.0,85.0,12.0,11.0
2020-07-31,36005,Bronx,330059,9849.0,8036.0,250.0,250.0,1456.0,1114.0,875.0,656.0,20.0,20.0
2020-07-31,36007,Broome,330011,2163.0,849.0,48.0,48.0,126.0,40.0,126.0,40.0,0.0,0.0
2020-07-31,36007,Broome,330394,1880.0,1414.0,96.0,94.0,300.0,223.0,300.0,217.0,66.0,66.0
2020-07-31,36009,Cattaraugus,330103,639.0,640.0,16.0,0.0,33.0,33.0,33.0,,-999999.0,
2020-07-31,36011,Cayuga,330235,,495.0,42.0,8.0,133.0,39.0,133.0,39.0,-999999.0,-999999.0
2020-07-31,36013,Chautauqua,330229,39.0,28.0,-999999.0,0.0,8.0,5.0,8.0,,0.0,0.0
2020-07-31,36013,Chautauqua,330166,465.0,410.0,20.0,19.0,145.0,142.0,145.0,142.0,13.0,13.0
2020-07-31,36013,Chautauqua,330239,896.0,730.0,5.0,5.0,77.0,65.0,77.0,65.0,5.0,5.0
2020-07-31,36015,Chemung,330090,1155.0,893.0,0.0,0.0,140.0,112.0,140.0,112.0,0.0,0.0
2020-07-31,36017,Chenango,330033,,68.0,,,49.0,9.0,,,,
2020-07-31,36019,Clinton,330250,,,,,,,,,,
2020-07-31,36021,Columbia,330094,346.0,346.0,30.0,11.0,40.0,19.0,,19.0,,
2020-07-31,36023,Cortland,330175,308.0,158.0,,,48.0,23.0,48.0,23.0,,
2020-07-31,36025,Delaware,331304,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36025,Delaware,331305,112.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36025,Delaware,331312,252.0,56.0,-999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36027,Dutchess,330049,700.0,394.0,6.0,-999999.0,49.0,20.0,49.0,20.0,-999999.0,0.0
2020-07-31,36027,Dutchess,330023,2541.0,1927.0,211.0,18.0,280.0,256.0,175.0,159.0,24.0,7.0
2020-07-31,36029,Erie,330219,3626.0,3176.0,29.0,26.0,322.0,203.0,322.0,203.0,-999999.0,-999999.0
2020-07-31,36029,Erie,330078,1421.0,773.0,90.0,90.0,1204.0,62.0,700.0,17.0,,
2020-07-31,36029,Erie,330354,931.0,891.0,13.0,7.0,98.0,83.0,98.0,83.0,0.0,0.0
2020-07-31,36029,Erie,330005,6064.0,3911.0,194.0,71.0,1104.0,512.0,1104.0,512.0,59.0,21.0
2020-07-31,36029,Erie,330279,,1136.0,4.0,4.0,270.0,182.0,,,-999999.0,-999999.0
2020-07-31,36029,Erie,330111,105.0,63.0,5.0,0.0,0.0,0.0,,0.0,,
2020-07-31,36029,Erie,330102,729.0,729.0,-999999.0,-999999.0,38.0,38.0,38.0,38.0,0.0,0.0
2020-07-31,36031,Essex,331302,,61.0,-999999.0,,0.0,0.0,,,,
2020-07-31,36033,Franklin,330079,452.0,99.0,28.0,0.0,48.0,7.0,48.0,7.0,5.0,0.0
2020-07-31,36033,Franklin,330084,266.0,94.0,11.0,,35.0,-999999.0,35.0,-999999.0,0.0,
2020-07-31,36035,Fulton,330276,,200.0,14.0,0.0,56.0,38.0,56.0,38.0,6.0,0.0
2020-07-31,36037,Genesee,330073,,209.0,,,78.0,15.0,,,,
2020-07-31,36043,Herkimer,331311,,104.0,15.0,,0.0,0.0,,0.0,,
2020-07-31,36045,Jefferson,331309,,71.0,,,0.0,0.0,,,,
2020-07-31,36045,Jefferson,331318,137.0,137.0,0.0,,0.0,0.0,,,,
2020-07-31,36047,Kings,330397,,,,,,,,,,
2020-07-31,36047,Kings,330396,3801.0,1081.0,49.0,24.0,231.0,125.0,231.0,90.0,10.0,5.0
2020-07-31,36047,Kings,330236,3441.0,3181.0,110.0,84.0,492.0,372.0,254.0,249.0,24.0,24.0
2020-07-31,36047,Kings,330194,3054.0,2738.0,107.0,107.0,368.0,284.0,368.0,284.0,63.0,63.0
2020-07-31,36047,Kings,330233,,,42.0,26.0,,,,,10.0,8.0
2020-07-31,36047,Kings,330202,4637.0,2367.0,192.0,20.0,350.0,300.0,295.0,175.0,29.0,0.0
2020-07-31,36047,Kings,330056,2758.0,1108.0,6.0,6.0,315.0,131.0,133.0,68.0,0.0,0.0
2020-07-31,36047,Kings,330196,4066.0,1646.0,147.0,37.0,412.0,226.0,315.0,192.0,30.0,6.0
2020-07-31,36047,Kings,330221,,741.0,148.0,22.0,144.0,78.0,144.0,76.0,0.0,0.0
2020-07-31,36047,Kings,330350,130.0,128.0,-999999.0,-999999.0,25.0,20.0,16.0,10.0,,
2020-07-31,36047,Kings,330201,,,293.0,14.0,,,,,60.0,0.0
2020-07-31,36047,Kings,330019,938.0,590.0,24.0,24.0,133.0,86.0,133.0,86.0,0.0,0.0
2020-07-31,36049,Lewis,331317,,39.0,0.0,0.0,24.0,5.0,,,,
2020-07-31,36051,Livingston,330238,252.0,163.0,-999999.0,0.0,56.0,28.0,56.0,27.0,0.0,0.0
2020-07-31,36053,Madison,331316,121.0,121.0,6.0,0.0,24.0,4.0,4.0,4.0,-999999.0,0.0
2020-07-31,36053,Madison,330115,127.0,125.0,13.0,13.0,42.0,14.0,42.0,14.0,0.0,0.0
2020-07-31,36055,Monroe,330125,,2614.0,,,460.0,218.0,,,,
2020-07-31,36055,Monroe,330226,,1851.0,,,660.0,103.0,,,,
2020-07-31,36055,Monroe,330164,2506.0,1707.0,19.0,18.0,168.0,81.0,168.0,81.0,-999999.0,-999999.0
2020-07-31,36055,Monroe,330285,7133.0,5809.0,104.0,65.0,1400.0,908.0,1260.0,753.0,12.0,12.0
2020-07-31,36057,Montgomery,330047,702.0,274.0,9.0,0.0,72.0,37.0,66.0,37.0,0.0,0.0
2020-07-31,36059,Nassau,330198,2828.0,1918.0,19.0,14.0,287.0,119.0,287.0,116.0,-999999.0,
2020-07-31,36059,Nassau,330331,1086.0,728.0,13.0,-999999.0,120.0,51.0,120.0,51.0,0.0,0.0
