date,fips,county,cases
2020-02-29,36005,Bronx,0.0
2020-03-01,36005,Bronx,0.0
2020-03-02,36005,Bronx,0.0
2020-03-03,36005,Bronx,0.0
2020-03-04,36005,Bronx,0.0
2020-03-05,36005,Bronx,0.0
2020-03-06,36005,Bronx,2.0
2020-03-07,36005,Bronx,2.0
2020-03-08,36005,Bronx,5.0
2020-03-09,36005,Bronx,9.0
2020-03-10,36005,Bronx,17.0
2020-03-11,36005,Bronx,36.0
2020-03-12,36005,Bronx,65.0
2020-03-13,36005,Bronx,144.0
2020-03-14,36005,Bronx,230.0
2020-03-15,36005,Bronx,349.0
2020-03-16,36005,Bronx,654.0
2020-03-17,36005,Bronx,997.0
2020-03-18,36005,Bronx,1479.0
2020-03-19,36005,Bronx,2102.0
2020-03-20,36005,Bronx,2825.0
2020-03-21,36005,Bronx,3315.0
2020-03-22,36005,Bronx,3809.0
2020-03-23,36005,Bronx,4539.0
2020-03-24,36005,Bronx,5466.0
2020-03-25,36005,Bronx,6533.0
2020-03-26,36005,Bronx,7532.0
2020-03-27,36005,Bronx,8622.0
2020-03-28,36005,Bronx,9384.0
2020-03-29,36005,Bronx,10084.0
2020-03-30,36005,Bronx,11397.0
2020-03-31,36005,Bronx,12679.0
2020-04-01,36005,Bronx,13919.0
2020-04-02,36005,Bronx,15210.0
2020-04-03,36005,Bronx,16660.0
2020-04-04,36005,Bronx,17671.0
2020-04-05,36005,Bronx,18494.0
2020-04-06,36005,Bronx,20008.0
2020-04-07,36005,Bronx,21472.0
2020-04-08,36005,Bronx,22777.0
2020-04-09,36005,Bronx,24060.0
2020-04-10,36005,Bronx,25288.0
2020-04-11,36005,Bronx,26286.0
2020-04-12,36005,Bronx,27049.0
2020-04-13,36005,Bronx,27742.0
2020-04-14,36005,Bronx,28818.0
2020-04-15,36005,Bronx,29887.0
2020-04-16,36005,Bronx,30827.0
2020-04-17,36005,Bronx,31744.0
2020-04-18,36005,Bronx,32296.0
2020-04-19,36005,Bronx,32828.0
2020-04-20,36005,Bronx,33809.0
2020-04-21,36005,Bronx,34450.0
2020-04-22,36005,Bronx,35377.0
2020-04-23,36005,Bronx,36111.0
2020-04-24,36005,Bronx,36691.0
2020-04-25,36005,Bronx,37108.0
2020-04-26,36005,Bronx,37304.0
2020-04-27,36005,Bronx,37854.0
2020-04-28,36005,Bronx,38523.0
2020-04-29,36005,Bronx,39080.0
2020-04-30,36005,Bronx,39562.0
2020-05-01,36005,Bronx,40011.0
2020-05-02,36005,Bronx,40274.0
2020-05-03,36005,Bronx,40427.0
2020-05-04,36005,Bronx,40775.0
2020-05-05,36005,Bronx,41069.0
2020-05-06,36005,Bronx,41348.0
2020-05-07,36005,Bronx,41646.0
2020-05-08,36005,Bronx,41898.0
2020-05-09,36005,Bronx,42073.0
2020-05-10,36005,Bronx,42148.0
2020-05-11,36005,Bronx,42374.0
2020-05-12,36005,Bronx,42729.0
2020-05-13,36005,Bronx,43190.0
2020-05-14,36005,Bronx,43445.0
2020-05-15,36005,Bronx,43625.0
2020-05-16,36005,Bronx,43733.0
2020-05-17,36005,Bronx,43789.0
2020-05-18,36005,Bronx,43976.0
2020-05-19,36005,Bronx,44157.0
2020-05-20,36005,Bronx,44435.0
2020-05-21,36005,Bronx,44634.0
2020-05-22,36005,Bronx,44898.0
2020-05-23,36005,Bronx,44988.0
2020-05-24,36005,Bronx,45089.0
2020-05-25,36005,Bronx,45192.0
2020-05-26,36005,Bronx,45476.0
2020-05-27,36005,Bronx,45658.0
2020-05-28,36005,Bronx,45776.0
2020-05-29,36005,Bronx,45941.0
2020-05-30,36005,Bronx,46021.0
2020-05-31,36005,Bronx,46051.0
2020-06-01,36005,Bronx,46209.0
2020-06-02,36005,Bronx,46330.0
2020-06-03,36005,Bronx,46443.0
2020-06-04,36005,Bronx,46570.0
2020-06-05,36005,Bronx,46678.0
2020-06-06,36005,Bronx,46728.0
2020-06-07,36005,Bronx,46771.0
2020-06-08,36005,Bronx,46868.0
2020-06-09,36005,Bronx,46952.0
2020-06-10,36005,Bronx,47028.0
2020-06-11,36005,Bronx,47093.0
2020-06-12,36005,Bronx,47173.0
2020-06-13,36005,Bronx,47219.0
2020-06-14,36005,Bronx,47246.0
2020-06-15,36005,Bronx,47326.0
2020-06-16,36005,Bronx,47406.0
2020-06-17,36005,Bronx,47474.0
2020-06-18,36005,Bronx,47534.0
2020-06-19,36005,Bronx,47617.0
2020-06-20,36005,Bronx,47670.0
2020-06-21,36005,Bronx,47695.0
2020-06-22,36005,Bronx,47787.0
2020-06-23,36005,Bronx,47860.0
2020-06-24,36005,Bronx,47950.0
2020-06-25,36005,Bronx,48014.0
2020-06-26,36005,Bronx,48080.0
2020-06-27,36005,Bronx,48106.0
2020-06-28,36005,Bronx,48141.0
2020-06-29,36005,Bronx,48216.0
2020-06-30,36005,Bronx,48293.0
2020-07-01,36005,Bronx,48355.0
2020-07-02,36005,Bronx,48429.0
2020-07-03,36005,Bronx,48470.0
2020-07-04,36005,Bronx,48491.0
2020-07-05,36005,Bronx,48510.0
2020-07-06,36005,Bronx,48577.0
2020-07-07,36005,Bronx,48689.0
2020-07-08,36005,Bronx,48772.0
2020-07-09,36005,Bronx,48862.0
2020-07-10,36005,Bronx,48927.0
2020-07-11,36005,Bronx,48967.0
2020-07-12,36005,Bronx,49011.0
2020-07-13,36005,Bronx,49119.0
2020-07-14,36005,Bronx,49189.0
2020-07-15,36005,Bronx,49296.0
2020-07-16,36005,Bronx,49391.0
2020-07-17,36005,Bronx,49466.0
2020-07-18,36005,Bronx,49520.0
2020-07-19,36005,Bronx,49558.0
2020-07-20,36005,Bronx,49653.0
2020-07-21,36005,Bronx,49724.0
2020-07-22,36005,Bronx,49803.0
2020-07-23,36005,Bronx,49872.0
2020-07-24,36005,Bronx,49945.0
2020-07-25,36005,Bronx,49970.0
2020-07-26,36005,Bronx,50000.0
2020-07-27,36005,Bronx,50058.0
2020-07-28,36005,Bronx,50116.0
2020-07-29,36005,Bronx,50196.0
2020-07-30,36005,Bronx,50254.0
2020-07-31,36005,Bronx,50309.0
2020-08-01,36005,Bronx,50346.0
2020-08-02,36005,Bronx,50376.0
2020-08-03,36005,Bronx,50472.0
2020-08-04,36005,Bronx,50519.0
2020-08-05,36005,Bronx,50585.0
2020-08-06,36005,Bronx,50651.0
2020-08-07,36005,Bronx,50704.0
2020-08-08,36005,Bronx,50734.0
2020-08-09,36005,Bronx,50753.0
2020-08-10,36005,Bronx,50842.0
2020-08-11,36005,Bronx,50912.0
2020-08-12,36005,Bronx,50971.0
2020-08-13,36005,Bronx,51031.0
2020-08-14,36005,Bronx,51099.0
2020-08-15,36005,Bronx,51141.0
2020-08-16,36005,Bronx,51164.0
2020-08-17,36005,Bronx,51236.0
2020-08-18,36005,Bronx,51291.0
2020-08-19,36005,Bronx,51341.0
2020-08-20,36005,Bronx,51404.0
2020-08-21,36005,Bronx,51456.0
2020-08-22,36005,Bronx,51485.0
2020-08-23,36005,Bronx,51517.0
2020-08-24,36005,Bronx,51581.0
2020-08-25,36005,Bronx,51646.0
2020-08-26,36005,Bronx,51710.0
2020-08-27,36005,Bronx,51762.0
2020-08-28,36005,Bronx,51839.0
2020-08-29,36005,Bronx,51867.0
2020-08-30,36005,Bronx,51887.0
2020-08-31,36005,Bronx,53123.0
2020-09-01,36005,Bronx,53159.0
2020-09-02,36005,Bronx,53185.0
2020-09-03,36005,Bronx,53237.0
2020-09-04,36005,Bronx,53300.0
2020-09-05,36005,Bronx,53350.0
2020-09-06,36005,Bronx,53395.0
2020-09-07,36005,Bronx,53441.0
2020-09-08,36005,Bronx,53474.0
2020-09-09,36005,Bronx,53496.0
2020-09-10,36005,Bronx,53532.0
2020-09-11,36005,Bronx,53618.0
2020-09-12,36005,Bronx,53680.0
2020-09-13,36005,Bronx,53729.0
2020-09-14,36005,Bronx,53792.0
2020-09-15,36005,Bronx,53835.0
2020-09-16,36005,Bronx,53856.0
2020-09-17,36005,Bronx,53937.0
2020-09-18,36005,Bronx,54000.0
2020-09-19,36005,Bronx,54057.0
2020-09-20,36005,Bronx,54122.0
2020-09-21,36005,Bronx,54174.0
2020-09-22,36005,Bronx,54208.0
2020-09-23,36005,Bronx,54235.0
2020-09-24,36005,Bronx,54316.0
2020-09-25,36005,Bronx,54386.0
2020-09-26,36005,Bronx,54477.0
2020-09-27,36005,Bronx,54545.0
2020-09-28,36005,Bronx,54602.0
2020-09-29,36005,Bronx,54654.0
2020-09-30,36005,Bronx,54691.0
2020-10-01,36005,Bronx,54783.0
2020-10-02,36005,Bronx,54857.0
2020-10-03,36005,Bronx,54919.0
2020-10-04,36005,Bronx,54997.0
2020-10-05,36005,Bronx,55087.0
2020-10-06,36005,Bronx,55126.0
2020-10-07,36005,Bronx,55172.0
2020-10-08,36005,Bronx,55281.0
2020-10-09,36005,Bronx,55359.0
2020-10-10,36005,Bronx,55446.0
2020-10-11,36005,Bronx,55537.0
2020-10-12,36005,Bronx,55638.0
2020-10-13,36005,Bronx,55683.0
2020-10-14,36005,Bronx,55729.0
2020-10-15,36005,Bronx,55799.0
2020-10-16,36005,Bronx,55921.0
2020-10-17,36005,Bronx,56030.0
2020-10-18,36005,Bronx,56150.0
2020-10-19,36005,Bronx,56248.0
2020-10-20,36005,Bronx,56327.0
2020-10-21,36005,Bronx,56384.0
2020-10-22,36005,Bronx,56517.0
2020-10-23,36005,Bronx,56634.0
2020-10-24,36005,Bronx,56757.0
2020-10-25,36005,Bronx,56894.0
2020-10-26,36005,Bronx,57035.0
2020-10-27,36005,Bronx,57133.0
2020-10-28,36005,Bronx,57225.0
2020-10-29,36005,Bronx,57392.0
2020-10-30,36005,Bronx,57547.0
2020-10-31,36005,Bronx,57700.0
2020-11-01,36005,Bronx,57835.0
2020-11-02,36005,Bronx,57991.0
2020-11-03,36005,Bronx,58091.0
2020-11-04,36005,Bronx,58204.0
2020-11-05,36005,Bronx,58431.0
2020-11-06,36005,Bronx,58622.0
2020-11-07,36005,Bronx,58869.0
2020-11-08,36005,Bronx,59119.0
2020-11-09,36005,Bronx,59372.0
2020-11-10,36005,Bronx,59561.0
2020-11-11,36005,Bronx,59734.0
2020-11-12,36005,Bronx,60047.0
2020-11-13,36005,Bronx,60391.0
2020-11-14,36005,Bronx,60705.0
2020-11-15,36005,Bronx,61034.0
2020-11-16,36005,Bronx,61387.0
2020-11-17,36005,Bronx,61663.0
2020-11-18,36005,Bronx,61866.0
2020-11-19,36005,Bronx,62256.0
2020-11-20,36005,Bronx,62677.0
2020-11-21,36005,Bronx,63078.0
2020-11-22,36005,Bronx,63534.0
2020-11-23,36005,Bronx,63972.0
2020-11-24,36005,Bronx,64317.0
2020-11-25,36005,Bronx,64578.0
2020-11-26,36005,Bronx,65116.0
2020-11-27,36005,Bronx,65586.0
2020-11-28,36005,Bronx,66103.0
2020-11-29,36005,Bronx,66301.0
2020-11-30,36005,Bronx,66831.0
2020-12-01,36005,Bronx,67292.0
2020-12-02,36005,Bronx,67643.0
2020-12-03,36005,Bronx,68241.0
2020-12-04,36005,Bronx,68993.0
2020-12-05,36005,Bronx,69656.0
2020-12-06,36005,Bronx,70334.0
2020-12-07,36005,Bronx,71020.0
2020-12-08,36005,Bronx,71455.0
2020-12-09,36005,Bronx,71811.0
2020-12-10,36005,Bronx,72541.0
2020-12-11,36005,Bronx,73193.0
2020-12-12,36005,Bronx,73891.0
2020-12-13,36005,Bronx,74602.0
2020-12-14,36005,Bronx,75209.0
2020-12-15,36005,Bronx,75685.0
2020-12-16,36005,Bronx,76112.0
2020-12-17,36005,Bronx,76862.0
2020-12-18,36005,Bronx,77651.0
2020-12-19,36005,Bronx,78213.0
2020-12-20,36005,Bronx,78599.0
2020-12-21,36005,Bronx,79347.0
2020-12-22,36005,Bronx,79842.0
2020-12-23,36005,Bronx,80252.0
2020-12-24,36005,Bronx,81074.0
2020-12-25,36005,Bronx,81937.0
2020-12-26,36005,Bronx,82666.0
2020-12-27,36005,Bronx,83185.0
2020-12-28,36005,Bronx,83382.0
2020-12-29,36005,Bronx,83891.0
2020-12-30,36005,Bronx,84589.0
2020-12-31,36005,Bronx,85385.0
2021-01-01,36005,Bronx,86505.0
2021-01-02,36005,Bronx,87727.0
2021-01-03,36005,Bronx,88526.0
2021-01-04,36005,Bronx,89197.0
2021-01-05,36005,Bronx,90121.0
2021-01-06,36005,Bronx,90958.0
2021-01-07,36005,Bronx,92156.0
2021-01-08,36005,Bronx,93440.0
2021-01-09,36005,Bronx,94723.0
2021-01-10,36005,Bronx,95878.0
2021-01-11,36005,Bronx,97015.0
2021-01-12,36005,Bronx,98058.0
2021-01-13,36005,Bronx,99088.0
2021-01-14,36005,Bronx,100168.0
2021-01-15,36005,Bronx,101553.0
2021-01-16,36005,Bronx,102739.0
2021-01-17,36005,Bronx,103869.0
2021-01-18,36005,Bronx,105175.0
2021-01-19,36005,Bronx,106253.0
2020-02-29,36047,Kings,0.0
2020-03-01,36047,Kings,0.0
2020-03-02,36047,Kings,0.0
2020-03-03,36047,Kings,0.0
2020-03-04,36047,Kings,1.0
2020-03-05,36047,Kings,4.0
2020-03-06,36047,Kings,5.0
2020-03-07,36047,Kings,7.0
2020-03-08,36047,Kings,12.0
2020-03-09,36047,Kings,28.0
2020-03-10,36047,Kings,39.0
2020-03-11,36047,Kings,70.0
2020-03-12,36047,Kings,166.0
2020-03-13,36047,Kings,332.0
2020-03-14,36047,Kings,495.0
2020-03-15,36047,Kings,928.0
2020-03-16,36047,Kings,1668.0
2020-03-17,36047,Kings,2451.0
2020-03-18,36047,Kings,3417.0
2020-03-19,36047,Kings,4621.0
2020-03-20,36047,Kings,5758.0
2020-03-21,36047,Kings,6312.0
2020-03-22,36047,Kings,7067.0
2020-03-23,36047,Kings,7977.0
2020-03-24,36047,Kings,9188.0
2020-03-25,36047,Kings,10442.0
2020-03-26,36047,Kings,11816.0
2020-03-27,36047,Kings,13239.0
2020-03-28,36047,Kings,14103.0
2020-03-29,36047,Kings,15252.0
2020-03-30,36047,Kings,17006.0
2020-03-31,36047,Kings,18519.0
2020-04-01,36047,Kings,20108.0
2020-04-02,36047,Kings,21721.0
2020-04-03,36047,Kings,23162.0
2020-04-04,36047,Kings,24084.0
2020-04-05,36047,Kings,25225.0
2020-04-06,36047,Kings,26687.0
2020-04-07,36047,Kings,28083.0
