county,new_cases,new_death
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,0.0,0.0
New York City,2.0,0.0
New York City,2.0,0.0
New York City,7.0,0.0
New York City,0.0,0.0
New York City,4.0,0.0
New York City,12.0,0.0
New York City,24.0,1.0
New York City,13.0,0.0
New York City,48.0,0.0
New York City,101.0,2.0
New York City,74.0,5.0
New York City,170.0,8.0
New York City,186.0,8.0
New York City,697.0,21.0
New York City,1131.0,24.0
New York City,1937.0,47.0
New York City,1805.0,44.0
New York City,2832.0,50.0
New York City,3260.0,82.0
New York City,2599.0,95.0
New York City,2952.0,123.0
New York City,3537.0,190.0
New York City,4005.0,217.0
New York City,4368.0,274.0
New York City,4002.0,292.0
New York City,3685.0,325.0
New York City,5686.0,384.0
New York City,10729.0,448.0
New York City,6215.0,497.0
New York City,5544.0,498.0
New York City,5551.0,510.0
New York City,5913.0,580.0
New York City,5836.0,576.0
New York City,4048.0,598.0
New York City,3952.0,569.0
New York City,6578.0,560.0
New York City,6260.0,539.0
New York City,5779.0,543.0
New York City,5266.0,572.0
New York City,4692.0,571.0
New York City,3902.0,510.0
New York City,3061.0,455.0
New York City,3496.0,414.0
New York City,4286.0,384.0
New York City,3982.0,391.0
New York City,3669.0,399.0
New York City,3676.0,364.0
New York City,2287.0,322.0
New York City,2435.0,312.0
New York City,3887.0,332.0
New York City,3156.0,315.0
New York City,3529.0,265.0
New York City,2920.0,246.0
New York City,2593.0,271.0
New York City,1647.0,228.0
New York City,1054.0,240.0
New York City,2333.0,223.0
New York City,2760.0,209.0
New York City,2376.0,191.0
New York City,2050.0,178.0
New York City,1925.0,159.0
New York City,1090.0,151.0
New York City,814.0,150.0
New York City,1585.0,141.0
New York City,1528.0,131.0
New York City,1426.0,100.0
New York City,1255.0,103.0
New York City,1104.0,103.0
New York City,666.0,91.0
New York City,469.0,83.0
New York City,1244.0,70.0
New York City,1298.0,86.0
New York City,1342.0,83.0
New York City,1127.0,77.0
New York City,885.0,4424.0
New York City,503.0,60.0
New York City,370.0,115.0
New York City,903.0,72.0
New York City,1013.0,74.0
New York City,1081.0,76.0
New York City,1076.0,58.0
New York City,1050.0,70.0
