county,new_cases,new_death
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",7.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",0.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",12.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",24.0,1.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",13.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",48.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",101.0,2.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",74.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",170.0,8.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",186.0,8.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",697.0,21.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1131.0,24.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1937.0,47.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1805.0,44.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2832.0,50.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3260.0,82.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2599.0,95.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2952.0,123.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3537.0,190.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4005.0,217.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4368.0,274.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4002.0,292.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3685.0,325.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5686.0,384.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",10729.0,448.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",6215.0,497.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5544.0,498.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5551.0,510.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5913.0,580.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5836.0,576.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4048.0,598.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3952.0,569.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",6578.0,560.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",6260.0,539.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5779.0,543.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5266.0,572.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4692.0,571.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3902.0,510.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3061.0,455.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3496.0,414.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4286.0,384.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3982.0,391.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3669.0,399.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3676.0,364.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2287.0,322.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2435.0,312.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3887.0,332.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3156.0,315.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3529.0,265.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2920.0,246.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2593.0,271.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1647.0,228.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1054.0,240.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2333.0,223.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2760.0,209.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2376.0,191.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2050.0,178.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1925.0,159.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1090.0,151.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",814.0,150.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1585.0,141.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1528.0,131.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1426.0,100.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1255.0,103.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1104.0,103.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",666.0,91.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",469.0,83.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1244.0,70.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1298.0,86.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1342.0,83.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1127.0,77.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",885.0,4424.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",503.0,60.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",370.0,115.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",903.0,72.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1013.0,74.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1081.0,76.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1076.0,58.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1050.0,69.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",459.0,17.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",471.0,49.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",471.0,57.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1060.0,61.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",748.0,65.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",651.0,51.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",656.0,48.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",353.0,49.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",239.0,54.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",698.0,54.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",582.0,21.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",518.0,40.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",534.0,27.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",418.0,46.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",255.0,34.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",212.0,36.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",473.0,22.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",431.0,27.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",383.0,19.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",384.0,34.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",428.0,22.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",210.0,19.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",194.0,24.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",400.0,24.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",438.0,22.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",370.0,20.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",387.0,33.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",385.0,16.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",219.0,18.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",184.0,17.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",416.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",395.0,18.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",395.0,11.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",311.0,24.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",332.0,20.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",219.0,7.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",218.0,12.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",459.0,28.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",456.0,24.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",419.0,15.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",428.0,18.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",251.0,16.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",132.0,14.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",165.0,22.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",456.0,13.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",485.0,13.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",455.0,15.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",411.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",328.0,15.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",276.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",237.0,17.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",506.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",418.0,15.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",462.0,13.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",440.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",439.0,9.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",236.0,13.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",201.0,7.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",430.0,11.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",357.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",350.0,12.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",321.0,9.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",317.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",169.0,11.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",159.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",332.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",331.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",314.0,8.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",285.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",286.0,2.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",203.0,5.0
