date,fips,county,daily_cases,daily_hospitalized,daily_deaths,case_avg,daily_hospitalized_avg,daily_deaths_avg,daily_cases_avg
2020-02-29,99999,New York City,1,0,0,0.0,0,0,0
2020-03-01,99999,New York City,0,0,0,0.0,0,0,0
2020-03-02,99999,New York City,0,0,0,0.0,0,0,0
2020-03-03,99999,New York City,1,1,0,0.0,0,0,0
2020-03-04,99999,New York City,5,2,0,0.0,0,0,0
2020-03-05,99999,New York City,3,8,0,0.0,0,0,0
2020-03-06,99999,New York City,8,5,0,0.0,2,0,3
2020-03-07,99999,New York City,7,6,0,0.0,3,0,3
2020-03-08,99999,New York City,21,15,0,0.0,5,0,6
2020-03-09,99999,New York City,57,30,0,0.0,10,0,15
2020-03-10,99999,New York City,69,48,0,0.0,16,0,24
2020-03-11,99999,New York City,155,73,1,0.0,26,0,46
2020-03-12,99999,New York City,355,79,0,0.0,37,0,96
2020-03-13,99999,New York City,619,144,0,0.0,56,0,183
2020-03-14,99999,New York City,642,155,2,0.0,78,0,274
2020-03-15,99999,New York City,1035,196,5,0.0,104,1,419
2020-03-16,99999,New York City,2121,330,8,0.0,146,2,714
2020-03-17,99999,New York City,2452,359,8,0.0,191,3,1054
2020-03-18,99999,New York City,2971,491,20,0.0,251,6,1456
2020-03-19,99999,New York City,3707,570,24,0.0,321,10,1935
2020-03-20,99999,New York City,4007,702,47,0.0,400,16,2419
2020-03-21,99999,New York City,2637,736,44,0.0,483,22,2704
2020-03-22,99999,New York City,2579,763,50,0.0,564,29,2925
2020-03-23,99999,New York City,3570,1111,82,0.0,676,39,3132
2020-03-24,99999,New York City,4501,1244,95,0.0,802,52,3425
2020-03-25,99999,New York City,4874,1396,123,0.0,932,66,3696
2020-03-26,99999,New York City,5047,1543,189,0.0,1071,90,3888
2020-03-27,99999,New York City,5116,1502,218,0.0,1185,114,4046
2020-03-28,99999,New York City,3479,1439,274,0.0,1285,147,4167
2020-03-29,99999,New York City,3563,1472,291,0.0,1387,182,4307
2020-03-30,99999,New York City,6129,1835,325,0.0,1490,216,4673
2020-03-31,99999,New York City,5459,1804,385,0.0,1570,258,4810
2020-04-01,99999,New York City,5449,1757,448,0.0,1622,304,4892
2020-04-02,99999,New York City,5748,1732,498,0.0,1649,348,4992
2020-04-03,99999,New York City,5670,1688,498,0.0,1675,388,5071
2020-04-04,99999,New York City,3865,1430,511,0.0,1674,422,5126
2020-04-05,99999,New York City,3781,1394,580,0.0,1663,464,5157
2020-04-06,99999,New York City,6353,1805,575,0.0,1659,499,5189
2020-04-07,99999,New York City,6043,1686,599,0.0,1642,530,5273
2020-04-08,99999,New York City,5580,1618,569,0.0,1622,547,5291
2020-04-09,99999,New York City,5070,1482,561,0.0,1586,556,5195
2020-04-10,99999,New York City,4511,1395,540,0.0,1544,562,5029
2020-04-11,99999,New York City,3732,1161,542,0.0,1506,567,5010
2020-04-12,99999,New York City,2887,1033,572,0.0,1454,565,4882
