date,fips,county,group,subgroup,case_cnt,hospitalized_cnt,death_cnt,case_rate,hospitalized_rate,death_rate
2021-01-21,36005,Bronx,Age,0_4,1635.0,114.0,,1631.75,113.77,
2021-01-21,36005,Bronx,Age,5_12,3441.0,54.0,,2224.15,34.9,
2021-01-21,36005,Bronx,Age,13_17,2739.0,89.0,,2973.6,96.62,
2021-01-21,36005,Bronx,Age,0_17,,,6.0,,,6.0
2021-01-21,36005,Bronx,Age,18_24,7344.0,442.0,8.0,5270.43,317.2,8.0
2021-01-21,36005,Bronx,Age,25_34,16426.0,1120.0,50.0,7223.93,492.56,50.0
2021-01-21,36005,Bronx,Age,35_44,14972.0,1406.0,123.0,8345.88,783.75,123.0
2021-01-21,36005,Bronx,Age,45_54,15841.0,2175.0,308.0,9116.34,1251.69,308.0
2021-01-21,36005,Bronx,Age,55_64,15268.0,3362.0,744.0,9393.67,2068.48,744.0
2021-01-21,36005,Bronx,Age,65_74,9055.0,3527.0,1121.0,8648.27,3368.58,1121.0
2021-01-21,36005,Bronx,Age,75+,7353.0,3987.0,2000.0,8747.01,4742.87,2000.0
2021-01-21,36005,Bronx,Race_ethnicity,Asian_Pacific_Islander,2180.0,437.0,99.0,3583.21,694.81,99.0
2021-01-21,36005,Bronx,Race_ethnicity,Black_African_American,18187.0,5080.0,1392.0,4205.88,1131.25,1392.0
2021-01-21,36005,Bronx,Race_ethnicity,Hispanic_Latino,42367.0,7429.0,2043.0,5418.76,999.93,2043.0
2021-01-21,36005,Bronx,Race_ethnicity,White,6479.0,1490.0,510.0,4719.46,738.66,510.0
2021-01-21,36005,Bronx,Sex,Female,49588.0,7580.0,1815.0,6623.58,1012.48,1815.0
2021-01-21,36005,Bronx,Sex,Male,44535.0,8693.0,2545.0,6651.5,1298.34,2545.0
2021-01-21,36047,Kings,Age,0_4,2498.0,155.0,,1365.58,84.73,
2021-01-21,36047,Kings,Age,5_12,5447.0,94.0,,2161.72,37.31,
2021-01-21,36047,Kings,Age,13_17,4714.0,102.0,,3363.26,72.77,
2021-01-21,36047,Kings,Age,0_17,,,8.0,,,8.0
2021-01-21,36047,Kings,Age,18_24,11915.0,556.0,13.0,5733.11,267.53,13.0
2021-01-21,36047,Kings,Age,25_34,25391.0,1477.0,63.0,5401.87,314.23,63.0
2021-01-21,36047,Kings,Age,35_44,21388.0,1746.0,141.0,5974.54,487.73,141.0
2021-01-21,36047,Kings,Age,45_54,19740.0,2406.0,421.0,6683.23,814.58,421.0
2021-01-21,36047,Kings,Age,55_64,20187.0,4072.0,976.0,7064.94,1425.1,976.0
2021-01-21,36047,Kings,Age,65_74,14465.0,4898.0,1611.0,6880.13,2329.69,1611.0
2021-01-21,36047,Kings,Age,75+,11645.0,6276.0,3188.0,7387.04,3981.2,3188.0
2021-01-21,36047,Kings,Race_ethnicity,Asian_Pacific_Islander,8429.0,1299.0,376.0,2532.63,391.92,376.0
2021-01-21,36047,Kings,Race_ethnicity,Black_African_American,25759.0,7316.0,2325.0,3163.16,816.14,2325.0
2021-01-21,36047,Kings,Race_ethnicity,Hispanic_Latino,19210.0,3823.0,1229.0,4009.65,834.39,1229.0
2021-01-21,36047,Kings,Race_ethnicity,White,34673.0,6618.0,1994.0,3620.48,629.1,1994.0
2021-01-21,36047,Kings,Sex,Female,70755.0,10135.0,2613.0,5250.02,752.02,2613.0
2021-01-21,36047,Kings,Sex,Male,66561.0,11641.0,3808.0,5490.95,960.32,3808.0
2021-01-21,36061,New York,Age,0_4,929.0,56.0,,1220.06,73.54,
2021-01-21,36061,New York,Age,5_12,1731.0,26.0,,1744.98,26.21,
2021-01-21,36061,New York,Age,13_17,1458.0,38.0,,2607.53,67.96,
2021-01-21,36061,New York,Age,0_17,,,1.0,,,1.0
2021-01-21,36061,New York,Age,18_24,5772.0,161.0,3.0,3962.95,110.54,3.0
2021-01-21,36061,New York,Age,25_34,14581.0,622.0,17.0,4029.25,171.88,17.0
2021-01-21,36061,New York,Age,35_44,9801.0,755.0,48.0,4185.65,322.43,48.0
2021-01-21,36061,New York,Age,45_54,8940.0,1147.0,112.0,4570.95,586.45,112.0
2021-01-21,36061,New York,Age,55_64,9027.0,1957.0,305.0,4904.41,1063.25,305.0
2021-01-21,36061,New York,Age,65_74,6442.0,2331.0,629.0,4314.48,1561.17,629.0
2021-01-21,36061,New York,Age,75+,6624.0,3679.0,1686.0,5223.56,2901.19,1686.0
2021-01-21,36061,New York,Race_ethnicity,Asian_Pacific_Islander,3665.0,694.0,190.0,1665.56,307.0,190.0
2021-01-21,36061,New York,Race_ethnicity,Black_African_American,7337.0,2402.0,639.0,3237.7,955.89,639.0
2021-01-21,36061,New York,Race_ethnicity,Hispanic_Latino,16435.0,3735.0,1031.0,3723.34,782.51,1031.0
