date,fips,county,hospital_pk,total_adult_inpatient_sum,total_adult_used_inpatient_sum,total_adult_confirmed_and_suspected_covid_sum,total_adult_confirmed_covid_sum,total_icu_sum,used_icu_sum,total_staffed_adult_icu_sum,used_staffed_adult_icu_sum,staffed_icu_adult_confirmed_and_suspected_covid_sum,staffed_icu_adult_confirmed_covid_sum,total_adult_inpatient_avg,total_adult_used_inpatient_avg,total_adult_confirmed_and_suspected_covid_avg,total_adult_confirmed_covid_avg,total_icu_avg,used_icu_avg,total_staffed_adult_icu_avg,used_staffed_adult_icu_avg,staffed_icu_adult_confirmed_and_suspected_covid_avg,staffed_icu_adult_confirmed_covid_avg
2020-07-31,36001,Albany,330057,3290,2235,69,65,338,178,198,118,-999999,-999999,470.0,319.3,9.9,9.3,48.3,25.4,28.3,16.9,-999999.0,-999999.0
2020-07-31,36003,Allegany,331301,46,45,,,0,0,,,,,6.6,6.4,,,0.0,0.0,,,,
2020-07-31,36003,Allegany,330096,371,172,4,-999999,70,11,70,9,,,53.0,24.6,-999999.0,-999999.0,10.0,-999999.0,10.0,-999999.0,,
2020-07-31,36005,Bronx,332006,1525,1204,171,171,0,0,0,0,0,0,217.9,172.0,24.4,24.4,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36005,Bronx,330399,2037,1308,29,9,392,258,308,245,10,-999999,291.0,186.9,4.1,-999999.0,56.0,36.9,44.0,35.0,-999999.0,-999999.0
2020-07-31,36005,Bronx,330059,9849,7254,250,250,1456,1114,875,656,20,20,1407.0,1036.3,35.7,35.7,208.0,159.1,125.0,93.7,-999999.0,-999999.0
2020-07-31,36005,Bronx,330385,3259,633,26,14,946,103,946,85,12,11,465.6,90.4,-999999.0,-999999.0,135.1,14.7,135.1,12.1,-999999.0,-999999.0
2020-07-31,36005,Bronx,330127,3608,1938,78,32,490,418,430,266,28,13,515.4,276.9,11.1,4.6,70.0,59.7,61.4,38.0,4.0,-999999.0
2020-07-31,36005,Bronx,330080,5070,1355,51,19,377,221,314,162,5,0,724.3,193.6,7.3,-999999.0,53.9,31.6,44.9,23.1,-999999.0,0.0
2020-07-31,36007,Broome,330394,1880,510,96,94,300,223,300,217,66,66,376.0,102.0,19.2,18.8,60.0,44.6,60.0,43.4,13.2,13.2
2020-07-31,36007,Broome,330011,2163,849,48,48,126,40,126,40,0,0,309.0,121.3,6.9,6.9,18.0,5.7,18.0,5.7,0.0,0.0
2020-07-31,36009,Cattaraugus,330103,639,266,16,0,33,33,33,,-999999,,127.8,133.0,-999999.0,0.0,6.6,6.6,6.6,,-999999.0,
2020-07-31,36011,Cayuga,330235,,488,42,8,133,39,133,39,-999999,-999999,,69.7,6.0,-999999.0,19.0,5.6,19.0,5.6,-999999.0,-999999.0
2020-07-31,36013,Chautauqua,330229,39,,-999999,0,8,5,8,,0,0,39.0,,-999999.0,0.0,8.0,5.0,8.0,,0.0,0.0
2020-07-31,36013,Chautauqua,330239,896,724,5,5,77,65,77,65,5,5,128.0,103.4,-999999.0,-999999.0,11.0,9.3,11.0,9.3,-999999.0,-999999.0
2020-07-31,36013,Chautauqua,330166,465,409,20,19,145,142,145,142,13,13,66.4,58.4,-999999.0,-999999.0,20.7,20.3,20.7,20.3,-999999.0,-999999.0
2020-07-31,36015,Chemung,330090,1155,873,0,0,140,112,140,112,0,0,165.0,124.7,0.0,0.0,20.0,16.0,20.0,16.0,0.0,0.0
2020-07-31,36017,Chenango,330033,,,,,49,9,,,,,,,,,7.0,-999999.0,,,,
2020-07-31,36019,Clinton,330250,,,,,,,,,,,,,,,,,,,,
2020-07-31,36021,Columbia,330094,346,346,30,11,40,19,,19,,,86.5,86.5,7.5,-999999.0,10.0,4.8,,4.8,,
2020-07-31,36023,Cortland,330175,308,158,,,48,23,48,23,,,77.0,39.5,,,12.0,5.8,12.0,5.8,,
2020-07-31,36025,Delaware,331305,112,38,0,0,0,0,0,0,0,0,16.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36025,Delaware,331312,252,56,-999999,0,0,0,0,0,0,0,36.0,8.0,-999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36025,Delaware,331304,14,14,0,0,0,0,0,0,0,0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36027,Dutchess,330049,700,394,6,-999999,49,20,49,20,-999999,0,100.0,56.3,-999999.0,-999999.0,7.0,-999999.0,7.0,-999999.0,-999999.0,0.0
2020-07-31,36027,Dutchess,330023,2541,1844,211,18,280,256,175,159,24,7,363.0,263.4,30.1,-999999.0,40.0,36.6,25.0,22.7,-999999.0,-999999.0
